amount,name of the buyer
9,"Beijing Zhikong Meixin Information Technology Co., Ltd."
6,"Bank of Quanzhou Co., Ltd."
2,"Zhengzhou Commercial Bank Co., Ltd."
1,"Mizuho Industrial Bank (China) Co., Ltd."
26,"Guangdong Development Bank Co., Ltd."
54,Agricultural Bank of China Shenzhen Branch
3,"China Construction Bank Co., Ltd. Qinghai Provincial Branch"
54,Agricultural Bank of China Shenzhen Branch
1,"Beijing Tuxin Times Technology Holdings Co., Ltd."
54,Agricultural Bank of China Shenzhen Branch
54,Agricultural Bank of China Shenzhen Branch
54,Agricultural Bank of China Shenzhen Branch
54,Agricultural Bank of China Shenzhen Branch
1,"Shenzhen Huaya Hexun Technology Co., Ltd."
54,Agricultural Bank of China Shenzhen Branch
34,"Bank of Communications Co., Ltd."
13,"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch"
13,"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch"
10,"Bank of Ningbo Co., Ltd."
8,Guiyang Commercial Bank
8,Credit Card Center of China Minsheng Banking Corporation
7,"Jiangsu Wujiang Rural Commercial Bank Co., Ltd."
6,Jiangxi Federation of Rural Credit Cooperatives
4,Taicang Rural Commercial Bank
3,"Bank of Chongqing Co., Ltd."
3,Foshan Nanhai District Rural Credit Cooperative Association
2,"Qinhuangdao Commercial Bank Co., Ltd."
1,"Shanghai Ctrip Business Co., Ltd."
1,Yunnan Rural Credit Cooperative Science and Technology Settlement Center
1,"Agricultural Bank of China Co., Ltd. Inner Mongolia Autonomous Region Branch"
41,"China Construction Bank Co., Ltd. Beijing Branch"
2,"Zhongke Yutu Tianxia Technology Co., Ltd."
13,Bank of China Limited
8,Ningbo Yinzhou Rural Cooperative Bank
5,"Jiangsu Jiangyin Rural Commercial Bank Co., Ltd."
3,"Bank of China Co., Ltd. Shanghai Branch"
3,"Bank of China Co., Ltd. Hebei Branch"
2,"China Construction Bank Co., Ltd. Guangxi Zhuang Autonomous Region Branch"
1,"Changchun Guoxin Real Estate Management Co., Ltd."
2,"China Construction Bank Co., Ltd. Xinyang Branch"
3,"Bank of Communications Co., Ltd. Fujian Branch"
1,Zhuhai Rural Credit Cooperatives Association
1,"Huzhou Bank Co., Ltd."
1,"Hana Bank (China) Co., Ltd."
7,"Changjiang Pension Insurance Co., Ltd."
1,China Merchants Bank Ningbo Branch
14,Huishang Bank
10,"Zhangjiakou Commercial Bank Co., Ltd."
8,"China Construction Bank Co., Ltd. Liaoning Provincial Branch"
1,"Shengdong Network Technology Development (Shanghai) Co., Ltd."
1,"Guangzhou Xinzhongtian Technology and Trade Industrial Co., Ltd."
1,"Agricultural Bank of China Co., Ltd."
26,"Guangdong Development Bank Co., Ltd."
1,"Agricultural Bank of China Co., Ltd. Hainan Branch"
54,Agricultural Bank of China Shenzhen Branch
8,Ningbo Yinzhou Rural Cooperative Bank
3,Beijing Zhengtianhua Advertising Company
2,Dongguan Rural Credit Cooperatives Association
2,"Dongguan Rural Commercial Bank Co., Ltd."
1,General Department of the Fifth Academy of China Aerospace Science and Technology Corporation
1,Dazhou Commercial Bank
30,"Hua Xia Bank Co., Ltd."
14,"Bank of Shanghai Co., Ltd."
10,Zhejiang Mintai Commercial Bank
7,"Changjiang Pension Insurance Co., Ltd."
5,Beijing Rural Commercial Bank
4,Credit Card Center of China Construction Bank Corporation
4,Guangdong Federation of Rural Credit Cooperatives
4,Credit Card Center of China Construction Bank Corporation
2,"Mingheng Road Trading Services Co., Ltd."
2,"Beijing Wanchuang Online Technology Development Co., Ltd."
2,"Yilong.com Information Technology (Beijing) Co., Ltd."
2,"Qinhuangdao Commercial Bank Co., Ltd."
1,"Beijing Caiyifeng Communication Technology Co., Ltd."
1,"Qishang Bank Co., Ltd."
54,Agricultural Bank of China Shenzhen Branch
54,Agricultural Bank of China Shenzhen Branch
1,"Huaxia Bank Co., Ltd. Beijing Branch"
1,"Changjiang Futures Co., Ltd."
54,Agricultural Bank of China Shenzhen Branch
1,"China Construction Bank Co., Ltd. Gansu Provincial Branch"
54,Agricultural Bank of China Shenzhen Branch
41,"China Construction Bank Co., Ltd. Beijing Branch"
1,Anshan Commercial Bank
7,"Xinyang Commercial Bank Co., Ltd."
5,Bank of Beijing
4,"China Construction Bank Co., Ltd. Hunan Branch"
3,"Zhanjiang Commercial Bank Co., Ltd."
1,"Beijing Xinhua Perui Public Relations Consulting Co., Ltd."
1,"Laishang Bank Co., Ltd."
1,"Beijing Tongtianshidi Space Technology Co., Ltd."
3,"Beijing Anke Internet Software Development Co., Ltd."
3,Wing Hang Bank (China) Limited
54,Agricultural Bank of China Shenzhen Branch
30,"Hua Xia Bank Co., Ltd."
3,Foshan Shunde District Rural Credit Cooperative Association
1,Suining Commercial Bank
30,"Hua Xia Bank Co., Ltd."
30,"Hua Xia Bank Co., Ltd."
54,Agricultural Bank of China Shenzhen Branch
5,Yunnan Rural Credit Cooperative Science and Technology Settlement Center
1,"Beijing Xianke High-tech Co., Ltd."
13,Bank of China Limited
13,Bank of China Limited
10,"Zhangjiakou Commercial Bank Co., Ltd."
9,Bank of East Asia (China) Limited
7,Zhejiang Tailong Commercial Bank
7,"Xinyang Commercial Bank Co., Ltd."
6,Changshu Rural Commercial Bank
4,Weihai Commercial Bank
4,"Zhejiang Geely Automobile Researcher Co., Ltd."
4,"Zhejiang Geely Automobile Research Institute Co., Ltd."
3,"Bank of China Co., Ltd. Shanghai Branch"
3,Quanzhou Commercial Bank
3,Foshan Nanhai District Rural Credit Cooperative Association
3,"Bank of Jiangsu Co., Ltd."
3,"Leshan Commercial Bank Co., Ltd."
2,"Souyi Network Alliance International Network Technology (Beijing) Co., Ltd."
2,"Philips (China) Investment Co., Ltd."
2,Shanxi Federation of Rural Credit Cooperatives
1,"Beijing Lingyun Interactive Information Technology Co., Ltd."
1,"Chuanglianwanwang International Information Technology (Beijing) Co., Ltd."
1,"Beijing Taitong Information Technology Co., Ltd."
1,"Orusa Co., Ltd."
41,"China Construction Bank Co., Ltd. Beijing Branch"
8,Credit Card Center of China Minsheng Banking Corporation
6,"Lanzhou Bank Co., Ltd."
5,"Hebei Bank Co., Ltd."
1,"Hangzhou Jingwei Information Technology Co., Ltd."
41,"China Construction Bank Co., Ltd. Beijing Branch"
5,"Nanchong Commercial Bank Co., Ltd."
3,"Bank of China Co., Ltd. Shanghai Branch"
4,"Beijing BOCO Value-added Business Communications Co., Ltd."
41,"China Construction Bank Co., Ltd. Beijing Branch"
8,"China Construction Bank Co., Ltd. Liaoning Provincial Branch"
5,Yunnan Rural Credit Cooperative Science and Technology Settlement Center
2,"Beijing Pocket Network Technology Co., Ltd."
14,"Bank of Shanghai Co., Ltd."
7,"Changjiang Pension Insurance Co., Ltd."
26,"China CITIC Bank Co., Ltd."
13,Bank of China Limited
2,"China Construction Bank Co., Ltd. Guangdong Branch"
14,Huishang Bank
10,"Bank of Ningbo Co., Ltd."
5,"Fudian Bank Co., Ltd."
3,"Cangzhou Bank Co., Ltd."
3,"Zhanjiang Commercial Bank Co., Ltd."
3,"Hankou Bank Co., Ltd."
2,"Beijing Qianoak Interactive Technology Development Co., Ltd."
2,"Deyang Commercial Bank Co., Ltd."
2,"Ganzhou Bank Co., Ltd."
2,"Xianghe Furniture City Property Management Co., Ltd. First Branch"
2,"Jiaozuo Commercial Bank Co., Ltd."
2,"Huishang Bank Co., Ltd."
1,Bank of Communications Shanghai Branch
1,Jiangmen Xinhui District Rural Credit Cooperative Association
1,"Beijing Huadihongtu Information Technology Co., Ltd."
1,"Ordos Bank Co., Ltd."
1,"Beijing Positioning Advertising Co., Ltd."
10,"Bank of China Limited, Macau Branch"
9,"Beijing Zhikong Meixin Information Technology Co., Ltd."
1,"Changjiang Securities Co., Ltd."
5,Shandong Federation of Rural Credit Cooperatives
2,Xiangtan Commercial Bank
1,"Shanghai Dewang Information Technology Co., Ltd."
1,Ministry of Land and Resources Information Center
54,Agricultural Bank of China Shenzhen Branch
14,Huishang Bank
7,"Xinyang Commercial Bank Co., Ltd."
34,"Bank of Communications Co., Ltd."
5,"Bank of Nanjing Co., Ltd."
2,"Soyiwangmeng International Network Technology (Beijing) Co., Ltd."
1,"Qingdao Hisense Communications Co., Ltd."
13,Shanghai Rural Commercial Bank
10,"Zhangjiakou Commercial Bank Co., Ltd."
9,"Beijing Zhikong Meixin Information Technology Co., Ltd."
6,"Bank of Chengdu Co., Ltd."
1,Guangdong
1,"Beijing Tai Tai Weiye Doors and Windows Co., Ltd."
1,"Beijing Huarong Yitong Technology Development Co., Ltd."
1,"Beijing Duosi Technology Industrial Park Co., Ltd."
10,"Bank of China Limited, Macau Branch"
14,"Bank of Shanghai Co., Ltd."
10,"Bank of Ningbo Co., Ltd."
10,"Zhangjiakou Commercial Bank Co., Ltd."
8,Guiyang Commercial Bank
4,Shenzhen Rural Commercial Bank
3,"Business Opportunities Online (Beijing) Network Technology Co., Ltd."
1,"UnionPay Data Services Co., Ltd."
13,"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch"
34,"Bank of Communications Co., Ltd."
6,"Bank of Chengdu Co., Ltd."
41,"China Construction Bank Co., Ltd. Beijing Branch"
6,"Bank of Quanzhou Co., Ltd."
1,"Bank of Communications Co., Ltd. Jiangxi Branch"
1,Foshan Sanshui District Rural Credit Cooperative Association
1,"Beijing Shibao Satellite Imagery Co., Ltd."
2,"Tianjin Zhongke Remote Sensing Information Technology Co., Ltd."
54,Agricultural Bank of China Shenzhen Branch
30,"Hua Xia Bank Co., Ltd."
15,"Bohai Bank Co., Ltd."
10,Zhejiang Mintai Commercial Bank
8,Ningbo Yinzhou Rural Cooperative Bank
10,"Zhangjiakou Commercial Bank Co., Ltd."
1,China 4D Surveying and Mapping Corporation
1,"Beijing NavInfo Technology Co., Ltd."
13,"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch"
6,Bank of Dalian
10,"Bank of China Limited, Macau Branch"
41,"China Construction Bank Co., Ltd. Beijing Branch"
14,Huishang Bank
14,Huishang Bank
8,"China Construction Bank Co., Ltd. Liaoning Provincial Branch"
5,Yunnan Rural Credit Cooperative Science and Technology Settlement Center
1,"CapitaLand Commercial Real Estate Management Consulting (Shanghai) Co., Ltd. Beijing Branch"
9,"Beijing Zhikong Meixin Information Technology Co., Ltd."
1,"China Oriental Performing Arts Group Co., Ltd."
2,"Bank of Communications Co., Ltd. Hong Kong Branch"
1,"Beijing Feitong Furniture Co., Ltd."
2,"Beijing Guoyuan Xintiandi Information Technology Co., Ltd."
3,Tianjin Commercial Bank
3,Heilongjiang Federation of Rural Credit Cooperatives
10,"Zhangjiakou Commercial Bank Co., Ltd."
7,"Jiangsu Wujiang Rural Commercial Bank Co., Ltd."
5,"Harbin Bank Co., Ltd."
5,"Nanchong Commercial Bank Co., Ltd."
4,HSBC Bank
4,Kunshan Rural Commercial Bank
2,"Century New Information Technology (Beijing) Co., Ltd."
2,"Philips (China) Investment Co., Ltd."
1,"Nanchang Commercial Bank Co., Ltd."
1,"China Construction Bank Co., Ltd. Henan Branch"
1,"Tianjin Fangwei Information System Engineering Technology Co., Ltd."
1,Shangrao Bank
1,"Bank of Suzhou Co., Ltd."
1,Shenyang Federation of Trade Unions Finance Department
1,"Xiamen Southeast Rongtong System Engineering Co., Ltd."
1,"Agricultural Bank of China Co., Ltd. Liaoning Provincial Branch"
41,"China Construction Bank Co., Ltd. Beijing Branch"
41,"China Construction Bank Co., Ltd. Beijing Branch"
1,Agricultural Bank of China Yunnan Branch
14,"Bank of Shanghai Co., Ltd."
14,"Bank of Shanghai Co., Ltd."
13,"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch"
8,"Bank of China Co., Ltd. Beijing Branch"
8,"China Construction Bank Co., Ltd. Liaoning Provincial Branch"
7,Zhejiang Tailong Commercial Bank
5,"Industrial Bank Co., Ltd."
4,Shenzhen Rural Commercial Bank
74,China Construction Bank Corporation
41,"China Construction Bank Co., Ltd. Beijing Branch"
41,"China Construction Bank Co., Ltd. Beijing Branch"
1,"Taizhou Bank Co., Ltd."
8,Ningbo Yinzhou Rural Cooperative Bank
1,"Beijing Happy Travel Business Service Co., Ltd."
41,"China Construction Bank Co., Ltd. Beijing Branch"
41,"China Construction Bank Co., Ltd. Beijing Branch"
41,"China Construction Bank Co., Ltd. Beijing Branch"
34,"Bank of Communications Co., Ltd."
14,"Bank of Shanghai Co., Ltd."
13,Shanghai Rural Commercial Bank
10,"Zhangjiakou Commercial Bank Co., Ltd."
8,Guiyang Commercial Bank
6,Jiangsu Federation of Rural Credit Cooperatives
5,"Hangzhou Bank Co., Ltd."
4,"Jinshang Bank Co., Ltd."
1,"Fujian Shitong Information Industry Development Co., Ltd."
6,"Lanzhou Bank Co., Ltd."
1,Bank of Communications
74,China Construction Bank Corporation
10,"Bank of China Limited, Macau Branch"
14,Huishang Bank
8,"Bank of China Co., Ltd. Beijing Branch"
8,Credit Card Center of China Minsheng Banking Corporation
7,"Jiangsu Wujiang Rural Commercial Bank Co., Ltd."
6,Jiangxi Federation of Rural Credit Cooperatives
6,Jiangsu Rural Credit Cooperatives Association
1,Yangzhou Urban Rural Credit Cooperative Association
7,"Bank of Qingdao Co., Ltd."
41,"China Construction Bank Co., Ltd. Beijing Branch"
41,"China Construction Bank Co., Ltd. Beijing Branch"
2,"Zhengzhou Commercial Bank Co., Ltd."
2,"China Construction Bank Co., Ltd. Shanxi Branch"
6,"Chongqing Rural Commercial Bank Co., Ltd."
1,"China Construction Bank Co., Ltd. Jiangxi Branch"
1,"Agricultural Bank of China Co., Ltd. Hebei Branch"
41,"China Construction Bank Co., Ltd. Beijing Branch"
8,Ningbo Yinzhou Rural Cooperative Bank
1,"China Construction Bank Co., Ltd. Shaanxi Provincial Branch"
54,Agricultural Bank of China Shenzhen Branch
30,"Hua Xia Bank Co., Ltd."
30,"Hua Xia Bank Co., Ltd."
14,Huishang Bank
13,Shenzhen Development Bank
13,Shanghai Rural Commercial Bank
6,"Lanzhou Bank Co., Ltd."
6,Jiangxi Federation of Rural Credit Cooperatives
6,Jiangsu Federation of Rural Credit Cooperatives
6,Changshu Rural Commercial Bank
5,"Hebei Bank Co., Ltd."
4,"Yibin Commercial Bank Co., Ltd."
3,Tianjin Commercial Bank
3,"Beijing 3158 International Media Advertising Co., Ltd."
3,"Cangzhou Bank Co., Ltd."
3,Jinzhou Bank
3,Jinzhou Bank
2,Shangrao Commercial Bank
2,Zhejiang Chouzhou Commercial Bank
2,"Jiaxing Bank Co., Ltd."
1,"Tianjin Golett Electronics Co., Ltd."
1,"Beijing Kuoda Building Decoration Engineering Co., Ltd."
1,"Beijing Yaguang Decoration Engineering Co., Ltd."
1,"Guangzhou OPPEIN Kitchen Cabinet Enterprise Co., Ltd."
1,"Beijing Longfa Building Decoration Engineering Co., Ltd."
1,Zhejiang Shaoxing County Rural Cooperative Bank
1,"Beijing Rongyitong Information Technology Co., Ltd."
1,"Tianjin Zhenxi Beauty Industrial Co., Ltd."
1,"Tianjin Hongze Ruixin Real Estate Development Co., Ltd."
1,"Nanjing Boken Enterprise Planning Consulting Co., Ltd."
5,Yunnan Rural Credit Cooperative Science and Technology Settlement Center
13,"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch"
1,"Beijing Oriental Daoer Information Technology Co., Ltd."
30,"Hua Xia Bank Co., Ltd."
14,"Bank of Shanghai Co., Ltd."
10,Zhejiang Mintai Commercial Bank
7,"Jiangsu Wujiang Rural Commercial Bank Co., Ltd."
6,"Lanzhou Bank Co., Ltd."
5,"Jiangsu Jiangyin Rural Commercial Bank Co., Ltd."
4,Kunshan Rural Commercial Bank
2,The Road to Fame Business
1,"China Construction Bank Co., Ltd. Guizhou Branch"
1,Soochow Rural Commercial Bank
41,"China Construction Bank Co., Ltd. Beijing Branch"
3,"China Construction Bank Co., Ltd. Ningxia Hui Autonomous Region Branch"
3,"Business Opportunities Online (Beijing) Network Technology Co., Ltd."
4,"China Asset Management Co., Ltd."
9,Bank of East Asia (China) Limited
8,Guiyang Commercial Bank
7,"Bank of Beijing Co., Ltd."
3,"China Construction Bank Co., Ltd. Ningxia Branch"
3,"Xinchen Technology Co., Ltd."
2,"Beijing Youli United Technology Co., Ltd."
1,Fujian Rural Credit Cooperatives Union
2,"Beijing Fangzhi Technology Co., Ltd."
41,"China Construction Bank Co., Ltd. Beijing Branch"
13,Shenzhen Development Bank
1,"Beijing Wanshitong Technology Co., Ltd."
7,"Bank of Qingdao Co., Ltd."
4,Shenzhen Rural Commercial Bank
2,"Business Department, Head Office of China CITIC Bank Co., Ltd."
3,"China-Singapore Great Eastern Life Insurance Co., Ltd."
13,Shenzhen Development Bank
13,Bank of China Limited
13,Bank of China Limited
8,Guiyang Commercial Bank
8,Guiyang Commercial Bank
7,"Bank of Beijing Co., Ltd."
7,"Bank of Beijing Co., Ltd."
6,"Nanchang Bank Co., Ltd."
5,"Bank of Nanjing Co., Ltd."
5,Harbin Bank
4,"China Construction Bank Co., Ltd. Hebei Branch"
2,Anhui Rural Credit Cooperatives United Cooperative
1,"China Reinsurance (Group) Co., Ltd."
8,"China Construction Bank Co., Ltd. Fujian Branch"
8,"Bank of China Co., Ltd. Beijing Branch"
3,Foshan Shunde District Rural Credit Cooperative Association
4,"Jinshang Bank Co., Ltd."
5,Bank of Beijing
1,"Agricultural Bank of China Co., Ltd. Jiangxi Branch"
1,"Agricultural Bank of China Co., Ltd. Shaanxi Provincial Branch"
2,"Brocade Information Industry (Shenzhen) Co., Ltd."
1,"Sanya Haohai Real Estate Consulting Service Co., Ltd."
5,"Fudian Bank Co., Ltd."
2,Jinhua Commercial Bank
41,"China Construction Bank Co., Ltd. Beijing Branch"
14,Huishang Bank
13,Shenzhen Development Bank
8,"China Construction Bank Co., Ltd. Fujian Branch"
6,"Bank of Quanzhou Co., Ltd."
3,"Daqing Commercial Bank Co., Ltd."
1,Agricultural Bank of China Guizhou Branch
15,"Bohai Bank Co., Ltd."
3,"China Construction Bank Co., Ltd. Ningxia Branch"
26,"Guangdong Development Bank Co., Ltd."
5,Bank of Tianjin
3,"Business Opportunities Online (Beijing) Network Technology Co., Ltd."
7,"Changjiang Pension Insurance Co., Ltd."
4,"China Asset Management Co., Ltd."
74,China Construction Bank Corporation
34,"Bank of Communications Co., Ltd."
3,"Beijing 3158 International Media Advertising Co., Ltd."
15,"Bohai Bank Co., Ltd."
5,Bank of Beijing
8,Ningbo Yinzhou Rural Cooperative Bank
34,"Bank of Communications Co., Ltd."
26,"China CITIC Bank Co., Ltd."
10,Zhejiang Mintai Commercial Bank
7,Zhejiang Tailong Commercial Bank
6,Changshu Rural Commercial Bank
4,"Jiangsu Jiangnan Rural Commercial Bank Co., Ltd."
3,"Cangzhou Bank Co., Ltd."
3,"Shangqiu Commercial Bank Co., Ltd."
3,"Zigong Commercial Bank Co., Ltd."
3,Fujian Federation of Rural Credit Cooperatives
2,"China Construction Bank Co., Ltd. Guangdong Branch"
2,"Jiaxing Bank Co., Ltd."
1,"Shenzhen Normal University Electronics Co., Ltd."
1,Zhejiang Xiaoshan Rural Cooperative Bank
1,"Beijing Maitian Real Estate Brokerage Co., Ltd."
9,"Beijing Zhikong Meixin Information Technology Co., Ltd."
7,Guangxi Beibu Gulf Bank
1,"Beijing Century Fortune Real Estate Brokerage Co., Ltd."
2,"Beijing Fangzhi Technology Co., Ltd."
6,"Yuxin Data Technology Co., Ltd."
1,"Beijing Gaowida Software Technology Co., Ltd."
26,"China CITIC Bank Co., Ltd."
2,"Beijing Guoyuan Xintiandi Information Technology Co., Ltd."
41,"China Construction Bank Co., Ltd. Beijing Branch"
6,Bank of Dalian
4,Taicang Rural Commercial Bank
4,Weihai Commercial Bank
8,"China Construction Bank Co., Ltd. Fujian Branch"
1,Agricultural Bank of China Tibet Autonomous Region Branch
1,"Bank of China Information Technology Services (Shenzhen) Co., Ltd. Luohu Branch"
41,"China Construction Bank Co., Ltd. Beijing Branch"
3,"Beijing 3158 International Media Advertising Co., Ltd."
2,Henan Federation of Rural Credit Cooperatives
1,China Minsheng Banking Corporation Limited
10,"Bank of China Limited, Macau Branch"
14,Huishang Bank
13,"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch"
10,"Zhangjiakou Commercial Bank Co., Ltd."
8,"China Construction Bank Co., Ltd. Fujian Branch"
7,Zhejiang Tailong Commercial Bank
41,"China Construction Bank Co., Ltd. Beijing Branch"
3,"Rural Credit Bank Capital Clearing Center Co., Ltd."
1,"Beijing Hualiang Real Estate Brokerage Co., Ltd."
1,"Beijing Digital Space Technology Co., Ltd."
2,Bank of Qingdao
6,Bank of Dalian
5,Bank of Beijing
4,"China Construction Bank Co., Ltd. Hebei Branch"
74,China Construction Bank Corporation
10,Zhejiang Mintai Commercial Bank
10,"Bank of Ningbo Co., Ltd."
10,Zhejiang Mintai Commercial Bank
6,"Chongqing Rural Commercial Bank Co., Ltd."
5,"Nanchong Commercial Bank Co., Ltd."
5,"Bank of Nanjing Co., Ltd."
4,HSBC Bank
2,Shangrao Commercial Bank
2,Zhejiang Chouzhou Commercial Bank
2,"Jiangsu Soochow Rural Commercial Bank Co., Ltd."
1,"Beijing Changxun Xintong Chip Technology Co., Ltd."
1,"Shanghai Qiyin Information Technology Co., Ltd."
1,"Zhangjiakou Dixin Real Estate Development Co., Ltd."
41,"China Construction Bank Co., Ltd. Beijing Branch"
54,Agricultural Bank of China Shenzhen Branch
41,"China Construction Bank Co., Ltd. Beijing Branch"
14,Huishang Bank
4,Credit Card Center of China Construction Bank Corporation
4,"China Construction Bank Co., Ltd. Hebei Branch"
2,"Bank of Ningxia Co., Ltd."
2,"Jinchuan Yue (Beijing) Trading Co., Ltd."
1,"Agricultural Bank of China Co., Ltd. Guangdong Branch"
41,"China Construction Bank Co., Ltd. Beijing Branch"
34,"Bank of Communications Co., Ltd."
8,Guiyang
6,Bank of Dalian
26,"China CITIC Bank Co., Ltd."
30,"Hua Xia Bank Co., Ltd."
30,"Hua Xia Bank Co., Ltd."
13,Shanghai Rural Commercial Bank
7,"Bank of Beijing Co., Ltd."
5,"Bank of Nanjing Co., Ltd."
4,"Qilu Bank Co., Ltd."
1,Bank of Ningbo
1,"Beijing Hongchengxing Real Estate Brokerage Co., Ltd."
1,"Beijing Zhongxinyuan Real Estate Development Group Co., Ltd."
30,"Hua Xia Bank Co., Ltd."
7,Guangxi Beibu Gulf Bank
30,"Hua Xia Bank Co., Ltd."
30,"Hua Xia Bank Co., Ltd."
5,"Fudian Bank Co., Ltd."
5,"Bank of Nanjing Co., Ltd."
1,"Beijing Zhongchuang Information Testing Technology Co., Ltd."
2,"Agricultural Bank of China Co., Ltd. Xinjiang Production and Construction Corps Branch"
2,"Brocade Information Industry (Shenzhen) Co., Ltd."
42,"Beijing Huasheng Tiancheng Software Technology Co., Ltd."
10,"Bank of Ningbo Co., Ltd."
41,"China Construction Bank Co., Ltd. Beijing Branch"
14,"Bank of Shanghai Co., Ltd."
9,Bank of East Asia (China) Limited
7,Guangxi Beibu Gulf Bank
6,Changshu Rural Commercial Bank
4,"Qilu Bank Co., Ltd."
1,"Beijing Jiaxuntong Communication Equipment Co., Ltd."
1,"Beijing Xingtianxia Information Technology Co., Ltd."
1,"Zhangbei Xinda Rural Bank Co., Ltd."
1,"Beijing Zhongda Henderson Real Estate Brokerage Co., Ltd."
5,Hunan Federation of Rural Credit Cooperatives
2,"Dongguan Rural Commercial Bank Co., Ltd."
1,"Air China Co., Ltd. Sales Department"
1,Air China Limited
7,"Changjiang Pension Insurance Co., Ltd."
41,"China Construction Bank Co., Ltd. Beijing Branch"
5,Bank of Tianjin
5,Bank of Tianjin
3,Tianjin Commercial Bank
3,"Rural Credit Bank Capital Clearing Center Co., Ltd."
1,"International Business Machines (China) Co., Ltd."
26,"Guangdong Development Bank Co., Ltd."
30,"Hua Xia Bank Co., Ltd."
41,"China Construction Bank Co., Ltd. Beijing Branch"
10,"Bank of Ningbo Co., Ltd."
7,"Changjiang Pension Insurance Co., Ltd."
3,"Bank of China Co., Ltd. Hebei Branch"
3,"Baoshang Bank Co., Ltd."
5,Hunan Federation of Rural Credit Cooperatives
13,"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch"
9,Shanghai Pudong Development Bank
15,"Bohai Bank Co., Ltd."
5,"Industrial Bank Co., Ltd."
4,"China Construction Bank Co., Ltd. Hebei Branch"
1,Shanghai Pudong Development Bank Shanghai Regional Headquarters
1,"Beijing Shanhe Online Advertising Co., Ltd."
1,"Yu County Yintai Rural Bank Co., Ltd."
1,Liaoning Provincial Federation of Rural Credit Cooperatives Comprehensive Business Network Center
1,"Centralized Procurement Committee of Agricultural Bank of China Co., Ltd. Hunan Branch"
9,Shanghai Pudong Development Bank
7,Guangxi Beibu Gulf Bank
4,"Beijing BOCO Value-added Business Communications Co., Ltd."
2,"Foshan Shunde Rural Commercial Bank Co., Ltd."
74,China Construction Bank Corporation
8,Credit Card Center of China Minsheng Banking Corporation
8,Credit Card Center of China Minsheng Banking Corporation
7,Zhejiang Tailong Commercial Bank
1,"Agricultural Bank of China Co., Ltd. Zhejiang Branch"
74,China Construction Bank Corporation
15,"Bohai Bank Co., Ltd."
41,"China Construction Bank Co., Ltd. Beijing Branch"
7,"Bank of Beijing Co., Ltd."
5,Yunnan Rural Credit Cooperative Science and Technology Settlement Center
14,"Bank of Shanghai Co., Ltd."
14,Huishang Bank
13,Shenzhen Development Bank
9,Shanghai Pudong Development Bank
8,"Bank of China Co., Ltd. Beijing Branch"
7,"Bank of Beijing Co., Ltd."
5,"Hebei Bank Co., Ltd."
4,"China Construction Bank Co., Ltd. Hunan Branch"
4,"Zhejiang Geely Automobile Research Institute Co., Ltd."
4,"Zhejiang Geely Automobile Research Institute Co., Ltd."
4,"Hangzhou Bank Co., Ltd."
4,Kunshan Rural Commercial Bank
3,"Zigong Commercial Bank Co., Ltd."
3,"Leshan Commercial Bank Co., Ltd."
2,"China HP Co., Ltd."
1,"Beijing Aokexingyuan Technology Business Incubator Co., Ltd."
1,"Tonglian Payment Network Services Co., Ltd. Sichuan Branch"
74,China Construction Bank Corporation
4,"Yichang Commercial Bank Co., Ltd."
74,China Construction Bank Corporation
26,"Guangdong Development Bank Co., Ltd."
4,Credit Card Center of China Construction Bank Corporation
2,Bank of Qingdao
1,"Fujian Straits Bank Co., Ltd."
4,"Shenzhen Development Bank Co., Ltd."
1,"Agricultural Bank of China Co., Ltd. Yunnan Branch"
74,China Construction Bank Corporation
6,"Bank of Quanzhou Co., Ltd."
41,"China Construction Bank Co., Ltd. Beijing Branch"
2,"Bank of Dalian Co., Ltd."
7,"Jiangsu Wujiang Rural Commercial Bank Co., Ltd."
34,"Bank of Communications Co., Ltd."
7,Zhejiang Tailong Commercial Bank
4,"Beijing BOCO Value-added Business Communications Co., Ltd."
2,"Tianjin Binhai Rural Commercial Bank Co., Ltd."
1,Chongqing Rural Commercial Bank
1,"Luanping Shengyang Rural Bank Co., Ltd. Preparatory Working Group"
,"Chang'an Bank Co., Ltd."
41,"China Construction Bank Co., Ltd. Beijing Branch"
74,China Construction Bank Corporation
74,China Construction Bank Corporation
6,"Nanchang Bank Co., Ltd."
4,"China Asset Management Co., Ltd."
4,"Yibin Commercial Bank Co., Ltd."
74,China Construction Bank Corporation
13,Shenzhen Development Bank
5,"Jiangsu Jiangyin Rural Commercial Bank Co., Ltd."
30,"Hua Xia Bank Co., Ltd."
30,"Hua Xia Bank Co., Ltd."
4,"Tai Chi Computer Co., Ltd."
4,"Shenzhen Development Bank Co., Ltd."
6,Jiangxi Federation of Rural Credit Cooperatives
6,"Bank of Quanzhou Co., Ltd."
5,Beijing Rural Commercial Bank
5,Shandong Federation of Rural Credit Cooperatives
