name of the buyer,if the project is a R&D mission
"Zhengzhou Commercial Bank Co., Ltd.",0
"Mizuho Industrial Bank (China) Co., Ltd.",0
"Guangdong Development Bank Co., Ltd.",0
Agricultural Bank of China Shenzhen Branch,1
"China Construction Bank Co., Ltd. Qinghai Provincial Branch",1
Agricultural Bank of China Shenzhen Branch,1
"Beijing Tuxin Times Technology Holdings Co., Ltd.",0
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,0
Agricultural Bank of China Shenzhen Branch,0
"Shenzhen Huaya Hexun Technology Co., Ltd.",0
Agricultural Bank of China Shenzhen Branch,0
"Bank of Communications Co., Ltd.",0
"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch",1
"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch",1
"Bank of Ningbo Co., Ltd.",0
Guiyang Commercial Bank,1
Credit Card Center of China Minsheng Banking Corporation,1
"Jiangsu Wujiang Rural Commercial Bank Co., Ltd.",1
Jiangxi Federation of Rural Credit Cooperatives,1
Taicang Rural Commercial Bank,0
"Bank of Chongqing Co., Ltd.",1
Foshan Nanhai District Rural Credit Cooperative Association,0
"Qinhuangdao Commercial Bank Co., Ltd.",1
"Shanghai Ctrip Business Co., Ltd.",0
Yunnan Rural Credit Cooperative Science and Technology Settlement Center,1
"Agricultural Bank of China Co., Ltd. Inner Mongolia Autonomous Region Branch",0
"China Construction Bank Co., Ltd. Beijing Branch",1
"Zhongke Yutu Tianxia Technology Co., Ltd.",0
Bank of China Limited,0
Ningbo Yinzhou Rural Cooperative Bank,1
"Jiangsu Jiangyin Rural Commercial Bank Co., Ltd.",1
"Bank of China Co., Ltd. Shanghai Branch",1
"Bank of China Co., Ltd. Hebei Branch",1
"China Construction Bank Co., Ltd. Guangxi Zhuang Autonomous Region Branch",1
"Changchun Guoxin Real Estate Management Co., Ltd.",0
"China Construction Bank Co., Ltd. Xinyang Branch",0
"Bank of Communications Co., Ltd. Fujian Branch",1
Zhuhai Rural Credit Cooperatives Association,1
"Huzhou Bank Co., Ltd.",1
"Hana Bank (China) Co., Ltd.",0
"Changjiang Pension Insurance Co., Ltd.",1
China Merchants Bank Ningbo Branch,1
Huishang Bank,1
"Zhangjiakou Commercial Bank Co., Ltd.",1
"China Construction Bank Co., Ltd. Liaoning Provincial Branch",0
"Shengdong Network Technology Development (Shanghai) Co., Ltd.",0
"Guangzhou Xinzhongtian Technology and Trade Industrial Co., Ltd.",1
"Agricultural Bank of China Co., Ltd.",0
"Guangdong Development Bank Co., Ltd.",0
"Agricultural Bank of China Co., Ltd. Hainan Branch",0
Agricultural Bank of China Shenzhen Branch,1
Ningbo Yinzhou Rural Cooperative Bank,1
Beijing Zhengtianhua Advertising Company,0
Dongguan Rural Credit Cooperatives Association,0
"Dongguan Rural Commercial Bank Co., Ltd.",0
General Department of the Fifth Academy of China Aerospace Science and Technology Corporation,1
Dazhou Commercial Bank,1
"Hua Xia Bank Co., Ltd.",1
"Bank of Shanghai Co., Ltd.",1
Zhejiang Mintai Commercial Bank,1
"Changjiang Pension Insurance Co., Ltd.",1
Beijing Rural Commercial Bank,1
Credit Card Center of China Construction Bank Corporation,0
Guangdong Federation of Rural Credit Cooperatives,1
Credit Card Center of China Construction Bank Corporation,0
"Mingheng Road Trading Services Co., Ltd.",0
"Beijing Wanchuang Online Technology Development Co., Ltd.",0
"Yilong.com Information Technology (Beijing) Co., Ltd.",0
"Qinhuangdao Commercial Bank Co., Ltd.",1
"Beijing Caiyifeng Communication Technology Co., Ltd.",0
"Qishang Bank Co., Ltd.",0
Agricultural Bank of China Shenzhen Branch,1
Agricultural Bank of China Shenzhen Branch,1
"Huaxia Bank Co., Ltd. Beijing Branch",1
"Changjiang Futures Co., Ltd.",0
Agricultural Bank of China Shenzhen Branch,1
"China Construction Bank Co., Ltd. Gansu Provincial Branch",0
Agricultural Bank of China Shenzhen Branch,1
"China Construction Bank Co., Ltd. Beijing Branch",0
Anshan Commercial Bank,1
"Xinyang Commercial Bank Co., Ltd.",1
Bank of Beijing,0
"China Construction Bank Co., Ltd. Hunan Branch",1
"Zhanjiang Commercial Bank Co., Ltd.",1
"Beijing Xinhua Perui Public Relations Consulting Co., Ltd.",0
"Laishang Bank Co., Ltd.",0
"Beijing Tongtianshidi Space Technology Co., Ltd.",0
"Beijing Anke Internet Software Development Co., Ltd.",1
Wing Hang Bank (China) Limited,0
Agricultural Bank of China Shenzhen Branch,1
"Hua Xia Bank Co., Ltd.",1
Foshan Shunde District Rural Credit Cooperative Association,1
Suining Commercial Bank,0
"Hua Xia Bank Co., Ltd.",1
"Hua Xia Bank Co., Ltd.",1
Agricultural Bank of China Shenzhen Branch,1
Yunnan Rural Credit Cooperative Science and Technology Settlement Center,0
"Beijing Xianke High-tech Co., Ltd.",0
Bank of China Limited,0
Bank of China Limited,0
"Zhangjiakou Commercial Bank Co., Ltd.",1
Bank of East Asia (China) Limited,0
Zhejiang Tailong Commercial Bank,1
"Xinyang Commercial Bank Co., Ltd.",0
Changshu Rural Commercial Bank,1
Weihai Commercial Bank,1
"Zhejiang Geely Automobile Researcher Co., Ltd.",1
"Zhejiang Geely Automobile Research Institute Co., Ltd.",1
"Bank of China Co., Ltd. Shanghai Branch",1
Quanzhou Commercial Bank,1
Foshan Nanhai District Rural Credit Cooperative Association,0
"Bank of Jiangsu Co., Ltd.",1
"Leshan Commercial Bank Co., Ltd.",0
"Souyi Network Alliance International Network Technology (Beijing) Co., Ltd.",0
"Philips (China) Investment Co., Ltd.",0
Shanxi Federation of Rural Credit Cooperatives,0
"Beijing Lingyun Interactive Information Technology Co., Ltd.",0
"Chuanglianwanwang International Information Technology (Beijing) Co., Ltd.",0
"Beijing Taitong Information Technology Co., Ltd.",1
"Orusa Co., Ltd.",0
"China Construction Bank Co., Ltd. Beijing Branch",1
Credit Card Center of China Minsheng Banking Corporation,1
"Lanzhou Bank Co., Ltd.",1
"Hebei Bank Co., Ltd.",1
"Hangzhou Jingwei Information Technology Co., Ltd.",0
"China Construction Bank Co., Ltd. Beijing Branch",0
"Nanchong Commercial Bank Co., Ltd.",1
"Bank of China Co., Ltd. Shanghai Branch",1
"Beijing BOCO Value-added Business Communications Co., Ltd.",1
"China Construction Bank Co., Ltd. Beijing Branch",1
"China Construction Bank Co., Ltd. Liaoning Provincial Branch",1
Yunnan Rural Credit Cooperative Science and Technology Settlement Center,0
"Beijing Pocket Network Technology Co., Ltd.",0
"Bank of Shanghai Co., Ltd.",1
"Changjiang Pension Insurance Co., Ltd.",1
"China CITIC Bank Co., Ltd.",1
Bank of China Limited,0
"China Construction Bank Co., Ltd. Guangdong Branch",1
Huishang Bank,1
"Bank of Ningbo Co., Ltd.",1
"Fudian Bank Co., Ltd.",1
"Cangzhou Bank Co., Ltd.",0
"Zhanjiang Commercial Bank Co., Ltd.",1
"Hankou Bank Co., Ltd.",1
"Beijing Qianoak Interactive Technology Development Co., Ltd.",0
"Deyang Commercial Bank Co., Ltd.",0
"Ganzhou Bank Co., Ltd.",0
"Xianghe Furniture City Property Management Co., Ltd. First Branch",0
"Jiaozuo Commercial Bank Co., Ltd.",1
"Huishang Bank Co., Ltd.",1
Bank of Communications Shanghai Branch,1
Jiangmen Xinhui District Rural Credit Cooperative Association,1
"Beijing Huadihongtu Information Technology Co., Ltd.",0
"Ordos Bank Co., Ltd.",1
"Beijing Positioning Advertising Co., Ltd.",0
"Bank of China Limited, Macau Branch",1
"Beijing Zhikong Meixin Information Technology Co., Ltd.",1
"Changjiang Securities Co., Ltd.",0
Shandong Federation of Rural Credit Cooperatives,1
Xiangtan Commercial Bank,1
"Shanghai Dewang Information Technology Co., Ltd.",1
Ministry of Land and Resources Information Center,1
Agricultural Bank of China Shenzhen Branch,0
Huishang Bank,1
"Xinyang Commercial Bank Co., Ltd.",0
"Bank of Communications Co., Ltd.",0
"Bank of Nanjing Co., Ltd.",1
"Soyiwangmeng International Network Technology (Beijing) Co., Ltd.",0
"Qingdao Hisense Communications Co., Ltd.",1
Shanghai Rural Commercial Bank,1
"Zhangjiakou Commercial Bank Co., Ltd.",1
"Beijing Zhikong Meixin Information Technology Co., Ltd.",1
"Bank of Chengdu Co., Ltd.",1
Guangdong,1
"Beijing Tai Tai Weiye Doors and Windows Co., Ltd.",0
"Beijing Huarong Yitong Technology Development Co., Ltd.",1
"Beijing Duosi Technology Industrial Park Co., Ltd.",0
"Bank of China Limited, Macau Branch",1
"Bank of Shanghai Co., Ltd.",1
"Bank of Ningbo Co., Ltd.",0
"Zhangjiakou Commercial Bank Co., Ltd.",1
Guiyang Commercial Bank,1
Shenzhen Rural Commercial Bank,1
"Business Opportunities Online (Beijing) Network Technology Co., Ltd.",0
"UnionPay Data Services Co., Ltd.",0
"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch",1
"Bank of Communications Co., Ltd.",0
"Bank of Chengdu Co., Ltd.",0
"China Construction Bank Co., Ltd. Beijing Branch",1
"Bank of Quanzhou Co., Ltd.",1
"Bank of Communications Co., Ltd. Jiangxi Branch",0
Foshan Sanshui District Rural Credit Cooperative Association,1
"Beijing Shibao Satellite Imagery Co., Ltd.",0
"Tianjin Zhongke Remote Sensing Information Technology Co., Ltd.",0
Agricultural Bank of China Shenzhen Branch,1
"Hua Xia Bank Co., Ltd.",0
"Bohai Bank Co., Ltd.",1
Zhejiang Mintai Commercial Bank,1
Ningbo Yinzhou Rural Cooperative Bank,1
"Zhangjiakou Commercial Bank Co., Ltd.",1
China 4D Surveying and Mapping Corporation,0
"Beijing NavInfo Technology Co., Ltd.",1
"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch",0
Bank of Dalian,1
"Bank of China Limited, Macau Branch",1
"China Construction Bank Co., Ltd. Beijing Branch",1
Huishang Bank,1
Huishang Bank,1
"China Construction Bank Co., Ltd. Liaoning Provincial Branch",0
Yunnan Rural Credit Cooperative Science and Technology Settlement Center,0
"CapitaLand Commercial Real Estate Management Consulting (Shanghai) Co., Ltd. Beijing Branch",1
"Beijing Zhikong Meixin Information Technology Co., Ltd.",1
"China Oriental Performing Arts Group Co., Ltd.",1
"Bank of Communications Co., Ltd. Hong Kong Branch",0
"Beijing Feitong Furniture Co., Ltd.",0
"Beijing Guoyuan Xintiandi Information Technology Co., Ltd.",0
Tianjin Commercial Bank,1
Heilongjiang Federation of Rural Credit Cooperatives,1
"Zhangjiakou Commercial Bank Co., Ltd.",1
"Jiangsu Wujiang Rural Commercial Bank Co., Ltd.",1
"Harbin Bank Co., Ltd.",1
"Nanchong Commercial Bank Co., Ltd.",0
HSBC Bank,1
Kunshan Rural Commercial Bank,1
"Century New Information Technology (Beijing) Co., Ltd.",1
"Philips (China) Investment Co., Ltd.",0
"Nanchang Commercial Bank Co., Ltd.",1
"China Construction Bank Co., Ltd. Henan Branch",1
"Tianjin Fangwei Information System Engineering Technology Co., Ltd.",1
Shangrao Bank,1
"Bank of Suzhou Co., Ltd.",1
Shenyang Federation of Trade Unions Finance Department,1
"Xiamen Southeast Rongtong System Engineering Co., Ltd.",0
"Agricultural Bank of China Co., Ltd. Liaoning Provincial Branch",0
"China Construction Bank Co., Ltd. Beijing Branch",1
"China Construction Bank Co., Ltd. Beijing Branch",1
Agricultural Bank of China Yunnan Branch,0
"Bank of Shanghai Co., Ltd.",1
"Bank of Shanghai Co., Ltd.",1
"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch",1
"Bank of China Co., Ltd. Beijing Branch",1
"China Construction Bank Co., Ltd. Liaoning Provincial Branch",1
Zhejiang Tailong Commercial Bank,0
"Industrial Bank Co., Ltd.",0
Shenzhen Rural Commercial Bank,1
China Construction Bank Corporation,1
"China Construction Bank Co., Ltd. Beijing Branch",1
"China Construction Bank Co., Ltd. Beijing Branch",1
"Taizhou Bank Co., Ltd.",1
Ningbo Yinzhou Rural Cooperative Bank,1
"Beijing Happy Travel Business Service Co., Ltd.",1
"China Construction Bank Co., Ltd. Beijing Branch",1
"China Construction Bank Co., Ltd. Beijing Branch",1
"China Construction Bank Co., Ltd. Beijing Branch",1
"Bank of Communications Co., Ltd.",1
"Bank of Shanghai Co., Ltd.",0
Shanghai Rural Commercial Bank,1
"Zhangjiakou Commercial Bank Co., Ltd.",1
Guiyang Commercial Bank,1
Jiangsu Federation of Rural Credit Cooperatives,1
"Hangzhou Bank Co., Ltd.",1
"Jinshang Bank Co., Ltd.",1
"Fujian Shitong Information Industry Development Co., Ltd.",1
"Lanzhou Bank Co., Ltd.",1
Bank of Communications,1
China Construction Bank Corporation,1
"Bank of China Limited, Macau Branch",1
Huishang Bank,1
"Bank of China Co., Ltd. Beijing Branch",1
Credit Card Center of China Minsheng Banking Corporation,0
"Jiangsu Wujiang Rural Commercial Bank Co., Ltd.",1
Jiangxi Federation of Rural Credit Cooperatives,1
Jiangsu Rural Credit Cooperatives Association,1
Yangzhou Urban Rural Credit Cooperative Association,1
"Bank of Qingdao Co., Ltd.",0
"China Construction Bank Co., Ltd. Beijing Branch",1
"China Construction Bank Co., Ltd. Beijing Branch",0
"Zhengzhou Commercial Bank Co., Ltd.",0
"China Construction Bank Co., Ltd. Shanxi Branch",1
"Chongqing Rural Commercial Bank Co., Ltd.",0
"China Construction Bank Co., Ltd. Jiangxi Branch",1
"Agricultural Bank of China Co., Ltd. Hebei Branch",0
"China Construction Bank Co., Ltd. Beijing Branch",1
Ningbo Yinzhou Rural Cooperative Bank,1
"China Construction Bank Co., Ltd. Shaanxi Provincial Branch",1
Agricultural Bank of China Shenzhen Branch,1
"Hua Xia Bank Co., Ltd.",1
"Hua Xia Bank Co., Ltd.",0
Huishang Bank,0
Shenzhen Development Bank,0
Shanghai Rural Commercial Bank,1
"Lanzhou Bank Co., Ltd.",1
Jiangxi Federation of Rural Credit Cooperatives,1
Jiangsu Federation of Rural Credit Cooperatives,1
Changshu Rural Commercial Bank,0
"Hebei Bank Co., Ltd.",1
"Yibin Commercial Bank Co., Ltd.",1
Tianjin Commercial Bank,1
"Beijing 3158 International Media Advertising Co., Ltd.",0
"Cangzhou Bank Co., Ltd.",0
Jinzhou Bank,1
Jinzhou Bank,1
Shangrao Commercial Bank,0
Zhejiang Chouzhou Commercial Bank,1
"Jiaxing Bank Co., Ltd.",1
"Tianjin Golett Electronics Co., Ltd.",0
"Beijing Kuoda Building Decoration Engineering Co., Ltd.",0
"Beijing Yaguang Decoration Engineering Co., Ltd.",0
"Guangzhou OPPEIN Kitchen Cabinet Enterprise Co., Ltd.",0
"Beijing Longfa Building Decoration Engineering Co., Ltd.",0
Zhejiang Shaoxing County Rural Cooperative Bank,1
"Beijing Rongyitong Information Technology Co., Ltd.",1
"Tianjin Zhenxi Beauty Industrial Co., Ltd.",0
"Tianjin Hongze Ruixin Real Estate Development Co., Ltd.",0
"Nanjing Boken Enterprise Planning Consulting Co., Ltd.",0
Yunnan Rural Credit Cooperative Science and Technology Settlement Center,0
"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch",0
"Beijing Oriental Daoer Information Technology Co., Ltd.",0
"Hua Xia Bank Co., Ltd.",0
"Bank of Shanghai Co., Ltd.",0
Zhejiang Mintai Commercial Bank,0
"Jiangsu Wujiang Rural Commercial Bank Co., Ltd.",0
"Lanzhou Bank Co., Ltd.",1
"Jiangsu Jiangyin Rural Commercial Bank Co., Ltd.",1
Kunshan Rural Commercial Bank,0
The Road to Fame Business,0
"China Construction Bank Co., Ltd. Guizhou Branch",1
Soochow Rural Commercial Bank,1
"China Construction Bank Co., Ltd. Beijing Branch",1
"China Construction Bank Co., Ltd. Ningxia Hui Autonomous Region Branch",1
"Business Opportunities Online (Beijing) Network Technology Co., Ltd.",0
"China Asset Management Co., Ltd.",1
Bank of East Asia (China) Limited,0
Guiyang Commercial Bank,1
"Bank of Beijing Co., Ltd.",0
"China Construction Bank Co., Ltd. Ningxia Branch",1
"Xinchen Technology Co., Ltd.",1
"Beijing Youli United Technology Co., Ltd.",0
Fujian Rural Credit Cooperatives Union,1
"Beijing Fangzhi Technology Co., Ltd.",1
"China Construction Bank Co., Ltd. Beijing Branch",1
Shenzhen Development Bank,1
"Beijing Wanshitong Technology Co., Ltd.",1
"Bank of Qingdao Co., Ltd.",1
Shenzhen Rural Commercial Bank,0
"Business Department, Head Office of China CITIC Bank Co., Ltd.",1
"China-Singapore Great Eastern Life Insurance Co., Ltd.",0
Shenzhen Development Bank,0
Bank of China Limited,0
Bank of China Limited,0
Guiyang Commercial Bank,1
Guiyang Commercial Bank,1
"Bank of Beijing Co., Ltd.",0
"Bank of Beijing Co., Ltd.",0
"Nanchang Bank Co., Ltd.",0
"Bank of Nanjing Co., Ltd.",1
Harbin Bank,1
"China Construction Bank Co., Ltd. Hebei Branch",1
Anhui Rural Credit Cooperatives United Cooperative,1
"China Reinsurance (Group) Co., Ltd.",0
"China Construction Bank Co., Ltd. Fujian Branch",0
"Bank of China Co., Ltd. Beijing Branch",0
Foshan Shunde District Rural Credit Cooperative Association,1
"Jinshang Bank Co., Ltd.",1
Bank of Beijing,0
"Agricultural Bank of China Co., Ltd. Jiangxi Branch",0
"Agricultural Bank of China Co., Ltd. Shaanxi Provincial Branch",0
"Brocade Information Industry (Shenzhen) Co., Ltd.",0
"Sanya Haohai Real Estate Consulting Service Co., Ltd.",0
"Fudian Bank Co., Ltd.",1
Jinhua Commercial Bank,1
"China Construction Bank Co., Ltd. Beijing Branch",0
Huishang Bank,1
Shenzhen Development Bank,0
"China Construction Bank Co., Ltd. Fujian Branch",0
"Bank of Quanzhou Co., Ltd.",0
"Daqing Commercial Bank Co., Ltd.",0
Agricultural Bank of China Guizhou Branch,0
"Bohai Bank Co., Ltd.",1
"China Construction Bank Co., Ltd. Ningxia Branch",1
"Guangdong Development Bank Co., Ltd.",1
Bank of Tianjin,1
"Business Opportunities Online (Beijing) Network Technology Co., Ltd.",0
"Changjiang Pension Insurance Co., Ltd.",1
"China Asset Management Co., Ltd.",1
China Construction Bank Corporation,0
"Bank of Communications Co., Ltd.",0
"Beijing 3158 International Media Advertising Co., Ltd.",0
"Bohai Bank Co., Ltd.",1
Bank of Beijing,0
Ningbo Yinzhou Rural Cooperative Bank,1
"Bank of Communications Co., Ltd.",0
"China CITIC Bank Co., Ltd.",0
Zhejiang Mintai Commercial Bank,1
Zhejiang Tailong Commercial Bank,1
Changshu Rural Commercial Bank,1
"Jiangsu Jiangnan Rural Commercial Bank Co., Ltd.",1
"Cangzhou Bank Co., Ltd.",0
"Shangqiu Commercial Bank Co., Ltd.",0
"Zigong Commercial Bank Co., Ltd.",1
Fujian Federation of Rural Credit Cooperatives,1
"China Construction Bank Co., Ltd. Guangdong Branch",1
"Jiaxing Bank Co., Ltd.",1
"Shenzhen Normal University Electronics Co., Ltd.",0
Zhejiang Xiaoshan Rural Cooperative Bank,1
"Beijing Maitian Real Estate Brokerage Co., Ltd.",0
"Beijing Zhikong Meixin Information Technology Co., Ltd.",1
Guangxi Beibu Gulf Bank,1
"Beijing Century Fortune Real Estate Brokerage Co., Ltd.",0
"Beijing Fangzhi Technology Co., Ltd.",1
"Yuxin Data Technology Co., Ltd.",0
"Beijing Gaowida Software Technology Co., Ltd.",1
"China CITIC Bank Co., Ltd.",0
"Beijing Guoyuan Xintiandi Information Technology Co., Ltd.",0
"China Construction Bank Co., Ltd. Beijing Branch",1
Bank of Dalian,1
Taicang Rural Commercial Bank,0
Weihai Commercial Bank,1
"China Construction Bank Co., Ltd. Fujian Branch",1
Agricultural Bank of China Tibet Autonomous Region Branch,0
"Bank of China Information Technology Services (Shenzhen) Co., Ltd. Luohu Branch",0
"China Construction Bank Co., Ltd. Beijing Branch",1
"Beijing 3158 International Media Advertising Co., Ltd.",0
Henan Federation of Rural Credit Cooperatives,0
China Minsheng Banking Corporation Limited,0
"Bank of China Limited, Macau Branch",1
Huishang Bank,1
"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch",1
"Zhangjiakou Commercial Bank Co., Ltd.",1
"China Construction Bank Co., Ltd. Fujian Branch",1
Zhejiang Tailong Commercial Bank,1
"China Construction Bank Co., Ltd. Beijing Branch",1
"Rural Credit Bank Capital Clearing Center Co., Ltd.",0
"Beijing Hualiang Real Estate Brokerage Co., Ltd.",0
"Beijing Digital Space Technology Co., Ltd.",0
Bank of Qingdao,1
Bank of Dalian,1
Bank of Beijing,0
"China Construction Bank Co., Ltd. Hebei Branch",0
China Construction Bank Corporation,1
Zhejiang Mintai Commercial Bank,1
"Bank of Ningbo Co., Ltd.",0
Zhejiang Mintai Commercial Bank,1
"Chongqing Rural Commercial Bank Co., Ltd.",1
"Nanchong Commercial Bank Co., Ltd.",0
"Bank of Nanjing Co., Ltd.",1
HSBC Bank,1
Shangrao Commercial Bank,0
Zhejiang Chouzhou Commercial Bank,1
"Jiangsu Soochow Rural Commercial Bank Co., Ltd.",1
"Beijing Changxun Xintong Chip Technology Co., Ltd.",1
"Shanghai Qiyin Information Technology Co., Ltd.",0
"Zhangjiakou Dixin Real Estate Development Co., Ltd.",0
"China Construction Bank Co., Ltd. Beijing Branch",1
Agricultural Bank of China Shenzhen Branch,1
"China Construction Bank Co., Ltd. Beijing Branch",1
Huishang Bank,1
Credit Card Center of China Construction Bank Corporation,0
"China Construction Bank Co., Ltd. Hebei Branch",1
"Bank of Ningxia Co., Ltd.",1
"Jinchuan Yue (Beijing) Trading Co., Ltd.",0
"Agricultural Bank of China Co., Ltd. Guangdong Branch",0
"China Construction Bank Co., Ltd. Beijing Branch",1
"Bank of Communications Co., Ltd.",1
Guiyang,1
Bank of Dalian,1
"China CITIC Bank Co., Ltd.",1
"Hua Xia Bank Co., Ltd.",0
"Hua Xia Bank Co., Ltd.",0
Shanghai Rural Commercial Bank,0
"Bank of Beijing Co., Ltd.",0
"Bank of Nanjing Co., Ltd.",1
"Qilu Bank Co., Ltd.",0
Bank of Ningbo,0
"Beijing Hongchengxing Real Estate Brokerage Co., Ltd.",0
"Beijing Zhongxinyuan Real Estate Development Group Co., Ltd.",0
"Hua Xia Bank Co., Ltd.",1
Guangxi Beibu Gulf Bank,1
"Hua Xia Bank Co., Ltd.",0
"Hua Xia Bank Co., Ltd.",1
"Fudian Bank Co., Ltd.",1
"Bank of Nanjing Co., Ltd.",1
"Beijing Zhongchuang Information Testing Technology Co., Ltd.",1
"Agricultural Bank of China Co., Ltd. Xinjiang Production and Construction Corps Branch",0
"Brocade Information Industry (Shenzhen) Co., Ltd.",1
"Beijing Huasheng Tiancheng Software Technology Co., Ltd.",1
"Bank of Ningbo Co., Ltd.",1
"China Construction Bank Co., Ltd. Beijing Branch",1
"Bank of Shanghai Co., Ltd.",1
Bank of East Asia (China) Limited,1
Guangxi Beibu Gulf Bank,1
Changshu Rural Commercial Bank,1
"Qilu Bank Co., Ltd.",0
"Beijing Jiaxuntong Communication Equipment Co., Ltd.",0
"Beijing Xingtianxia Information Technology Co., Ltd.",1
"Zhangbei Xinda Rural Bank Co., Ltd.",1
"Beijing Zhongda Henderson Real Estate Brokerage Co., Ltd.",0
Hunan Federation of Rural Credit Cooperatives,0
"Dongguan Rural Commercial Bank Co., Ltd.",0
"Air China Co., Ltd. Sales Department",1
Air China Limited,1
"Changjiang Pension Insurance Co., Ltd.",1
"China Construction Bank Co., Ltd. Beijing Branch",1
Bank of Tianjin,1
Bank of Tianjin,1
Tianjin Commercial Bank,1
"Rural Credit Bank Capital Clearing Center Co., Ltd.",0
"International Business Machines (China) Co., Ltd.",0
"Guangdong Development Bank Co., Ltd.",1
"Hua Xia Bank Co., Ltd.",1
"China Construction Bank Co., Ltd. Beijing Branch",1
"Bank of Ningbo Co., Ltd.",1
"Changjiang Pension Insurance Co., Ltd.",1
"Bank of China Co., Ltd. Hebei Branch",1
"Baoshang Bank Co., Ltd.",1
Hunan Federation of Rural Credit Cooperatives,0
"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch",0
Shanghai Pudong Development Bank,1
"Bohai Bank Co., Ltd.",0
"Industrial Bank Co., Ltd.",1
"China Construction Bank Co., Ltd. Hebei Branch",1
Shanghai Pudong Development Bank Shanghai Regional Headquarters,1
"Beijing Shanhe Online Advertising Co., Ltd.",0
"Yu County Yintai Rural Bank Co., Ltd.",1
Liaoning Provincial Federation of Rural Credit Cooperatives Comprehensive Business Network Center,1
"Centralized Procurement Committee of Agricultural Bank of China Co., Ltd. Hunan Branch",0
Shanghai Pudong Development Bank,1
Guangxi Beibu Gulf Bank,0
"Beijing BOCO Value-added Business Communications Co., Ltd.",1
"Foshan Shunde Rural Commercial Bank Co., Ltd.",1
China Construction Bank Corporation,1
Credit Card Center of China Minsheng Banking Corporation,0
Credit Card Center of China Minsheng Banking Corporation,1
Zhejiang Tailong Commercial Bank,1
"Agricultural Bank of China Co., Ltd. Zhejiang Branch",0
China Construction Bank Corporation,1
"Bohai Bank Co., Ltd.",1
"China Construction Bank Co., Ltd. Beijing Branch",1
"Bank of Beijing Co., Ltd.",0
Yunnan Rural Credit Cooperative Science and Technology Settlement Center,1
"Bank of Shanghai Co., Ltd.",1
Huishang Bank,1
Shenzhen Development Bank,0
Shanghai Pudong Development Bank,1
"Bank of China Co., Ltd. Beijing Branch",1
"Bank of Beijing Co., Ltd.",0
"Hebei Bank Co., Ltd.",1
"China Construction Bank Co., Ltd. Hunan Branch",1
"Zhejiang Geely Automobile Research Institute Co., Ltd.",1
"Zhejiang Geely Automobile Research Institute Co., Ltd.",1
"Hangzhou Bank Co., Ltd.",1
Kunshan Rural Commercial Bank,1
"Zigong Commercial Bank Co., Ltd.",0
"Leshan Commercial Bank Co., Ltd.",0
"China HP Co., Ltd.",1
"Beijing Aokexingyuan Technology Business Incubator Co., Ltd.",1
"Tonglian Payment Network Services Co., Ltd. Sichuan Branch",1
China Construction Bank Corporation,0
"Yichang Commercial Bank Co., Ltd.",1
China Construction Bank Corporation,0
"Guangdong Development Bank Co., Ltd.",1
Credit Card Center of China Construction Bank Corporation,0
Bank of Qingdao,1
"Fujian Straits Bank Co., Ltd.",1
"Shenzhen Development Bank Co., Ltd.",1
"Agricultural Bank of China Co., Ltd. Yunnan Branch",0
China Construction Bank Corporation,0
"Bank of Quanzhou Co., Ltd.",1
"China Construction Bank Co., Ltd. Beijing Branch",1
"Bank of Dalian Co., Ltd.",0
"Jiangsu Wujiang Rural Commercial Bank Co., Ltd.",1
"Bank of Communications Co., Ltd.",0
Zhejiang Tailong Commercial Bank,1
"Beijing BOCO Value-added Business Communications Co., Ltd.",1
"Tianjin Binhai Rural Commercial Bank Co., Ltd.",1
Chongqing Rural Commercial Bank,1
"Luanping Shengyang Rural Bank Co., Ltd. Preparatory Working Group",0
"Chang'an Bank Co., Ltd.",0
"China Construction Bank Co., Ltd. Beijing Branch",1
China Construction Bank Corporation,0
China Construction Bank Corporation,0
"Nanchang Bank Co., Ltd.",1
"China Asset Management Co., Ltd.",1
"Yibin Commercial Bank Co., Ltd.",0
China Construction Bank Corporation,1
Shenzhen Development Bank,0
"Jiangsu Jiangyin Rural Commercial Bank Co., Ltd.",1
"Hua Xia Bank Co., Ltd.",0
"Hua Xia Bank Co., Ltd.",0
"Tai Chi Computer Co., Ltd.",1
"Shenzhen Development Bank Co., Ltd.",1
Jiangxi Federation of Rural Credit Cooperatives,1
"Bank of Quanzhou Co., Ltd.",1
Beijing Rural Commercial Bank,1
Shandong Federation of Rural Credit Cooperatives,1
"Jiangsu Jiangnan Rural Commercial Bank Co., Ltd.",1
Nanyang Commercial Bank (China) Limited,0
"Guangdong Development Bank Co., Ltd.",1
Agricultural Bank of China Qingdao Branch,0
"Qingniu (Beijing) Technology Co., Ltd.",1
"Beijing Zhikong Meixin Information Technology Co., Ltd.",1
