name of the buyer,location of the buyer,if the buyer is a bank,the buyer's country,if the buyer is a chinese organization,Turnover,money,installment,paystyle,payment method
"Beijing University of Technology Zhiyuan Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,100000,100000,0,2,One time payment
"China-Singapore Great Eastern Life Insurance Co., Ltd.",Chongqing,0,People's Republic of China (CN),1,100000,100000,1,1,Installment payment
"Shin Kong Life Insurance Co., Ltd.",Beijing,1,People's Republic of China (CN),1,100000,100000,1,1,Installment payment
"Shenzhen Rural Commercial Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,100000,100000,1,1,Installment payment
"Shenzhen Rural Commercial Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,100000,100000,0,2,One time payment
Shenzhen Rural Commercial Bank,Guangdong Province,1,People's Republic of China (CN),1,100000,100000,1,1,Installment payment
"Beijing Jingguang Huayi Venture Decoration Co., Ltd.",Beijing,0,People's Republic of China (CN),1,100000,100000,1,1,Installment payment
"Beijing Lijia Meiju Building Materials Co., Ltd.",Beijing,0,People's Republic of China (CN),1,100000,100000,1,1,Installment payment
"Zhejiang Aohua Electric Co., Ltd. Beijing Operation Center",Beijing,0,People's Republic of China (CN),1,100000,100000,1,1,Installment payment
Bank of Jiangsu Wuxi Branch,Jiangsu Province,1,People's Republic of China (CN),1,100000,100000,1,1,Installment payment
Bank of Jiangsu Zhenjiang Branch,Jiangsu Province,1,People's Republic of China (CN),1,100000,100000,1,1,Installment payment
Taishan Rural Credit Cooperatives Federation,Guangdong Province,1,People's Republic of China (CN),1,100000,100000,1,1,Installment payment
"Beijing Taihua Jinze Trading Co., Ltd.",Beijing,0,People's Republic of China (CN),1,100000,100000,1,1,Installment payment
"China UnionPay Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,100000,100000,1,1,Installment payment
"Beijing Hengbang Kaijie Radiator Co., Ltd.",Beijing,0,People's Republic of China (CN),1,100500,100500,1,1,Installment payment
"Beijing Saiyishi Decoration Materials Co., Ltd.",Beijing,0,People's Republic of China (CN),1,100500,100500,1,1,Installment payment
"Beijing Ruiyuan Aige Decoration Materials Co., Ltd.",Beijing,0,People's Republic of China (CN),1,101000,101000,1,1,Installment payment
"China Construction Bank Co., Ltd. Qinghai Provincial Branch",Qinghai Province,1,People's Republic of China (CN),1,103000,103000,1,1,Installment payment
Bank of China Limited,Beijing,1,People's Republic of China (CN),1,104500,104500,1,1,Installment payment
"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch",Inner Mongolia Autonomous Region,1,People's Republic of China (CN),1,105000,105000,1,1,Installment payment
"Beijing Anju Yiyuan Industry and Trade Co., Ltd.",Beijing,0,People's Republic of China (CN),1,105000,105000,1,1,Installment payment
"Beijing Handong Economic and Trade Co., Ltd.",Beijing,0,People's Republic of China (CN),1,106000,106000,1,1,Installment payment
"Beijing China Enterprise Power Business Information Co., Ltd.",Beijing,0,People's Republic of China (CN),1,106420,106420,1,1,Installment payment
"Beijing Zhikong Meixin Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,108000,108000,1,1,Installment payment
"Bank of Quanzhou Co., Ltd.",Fujian Province,1,People's Republic of China (CN),1,108000,108000,1,1,Installment payment
"Zhengzhou Commercial Bank Co., Ltd.",Henan Province,1,People's Republic of China (CN),1,108000,108000,1,1,Installment payment
"Mizuho Industrial Bank (China) Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,109200,109200,1,1,Installment payment
"Guangdong Development Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,110000,110000,1,1,Installment payment
Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,114000,114000,1,1,Installment payment
"China Construction Bank Co., Ltd. Qinghai Provincial Branch",Qinghai Province,1,People's Republic of China (CN),1,115000,115000,1,1,Installment payment
Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,117000,117000,1,1,Installment payment
"Beijing Tuxin Times Technology Holdings Co., Ltd.",Beijing,0,People's Republic of China (CN),1,117300,117300,1,1,Installment payment
Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,117600,117600,1,1,Installment payment
Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,117600,117600,1,1,Installment payment
Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,118000,118000,1,1,Installment payment
Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,118000,118000,1,1,Installment payment
"Shenzhen Huaya Hexun Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,118800,118800,1,1,Installment payment
Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,120000,120000,1,1,Installment payment
"Bank of Communications Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,120000,120000,1,1,Installment payment
"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch",Inner Mongolia Autonomous Region,1,People's Republic of China (CN),1,120000,120000,1,1,Installment payment
"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch",Inner Mongolia Autonomous Region,1,People's Republic of China (CN),1,120000,120000,1,1,Installment payment
"Bank of Ningbo Co., Ltd.",Zhejiang Province,1,People's Republic of China (CN),1,120000,120000,1,1,Installment payment
Guiyang Commercial Bank,Guizhou Province,1,People's Republic of China (CN),1,120000,120000,1,1,Installment payment
Credit Card Center of China Minsheng Banking Corporation,Beijing,1,People's Republic of China (CN),1,120000,120000,1,1,Installment payment
"Jiangsu Wujiang Rural Commercial Bank Co., Ltd.",Jiangsu Province,1,People's Republic of China (CN),1,120000,120000,1,1,Installment payment
Jiangxi Federation of Rural Credit Cooperatives,Jiangxi Province,1,People's Republic of China (CN),1,120000,120000,1,1,Installment payment
Taicang Rural Commercial Bank,Jiangsu Province,1,People's Republic of China (CN),1,120000,120000,1,1,Installment payment
"Bank of Chongqing Co., Ltd.",Chongqing,1,People's Republic of China (CN),1,120000,120000,1,1,Installment payment
Foshan Nanhai District Rural Credit Cooperative Association,Guangdong Province,1,People's Republic of China (CN),1,120000,120000,1,1,Installment payment
"Qinhuangdao Commercial Bank Co., Ltd.",Hebei Province,1,People's Republic of China (CN),1,120000,120000,1,1,Installment payment
"Shanghai Ctrip Business Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,120000,120000,1,1,Installment payment
Yunnan Rural Credit Cooperative Science and Technology Settlement Center,Yunnan Province,1,People's Republic of China (CN),1,120000,120000,0,2,One time payment
"Agricultural Bank of China Co., Ltd. Inner Mongolia Autonomous Region Branch",Inner Mongolia Autonomous Region,1,People's Republic of China (CN),1,120764,120764,1,1,Installment payment
"China Construction Bank Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,123000,123000,1,1,Installment payment
"Zhongke Yutu Tianxia Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,124386,124386,1,1,Installment payment
Bank of China Limited,Beijing,1,People's Republic of China (CN),1,125400,125400,1,1,Installment payment
Ningbo Yinzhou Rural Cooperative Bank,Zhejiang Province,1,People's Republic of China (CN),1,128000,128000,1,1,Installment payment
"Jiangsu Jiangyin Rural Commercial Bank Co., Ltd.",Jiangsu Province,1,People's Republic of China (CN),1,130000,130000,0,2,One time payment
"Bank of China Co., Ltd. Shanghai Branch",Shanghai,1,People's Republic of China (CN),1,130000,130000,0,2,One time payment
"Bank of China Co., Ltd. Hebei Branch",Hebei Province,1,People's Republic of China (CN),1,130000,130000,1,1,Installment payment
"China Construction Bank Co., Ltd. Guangxi Zhuang Autonomous Region Branch",Guangxi Zhuang Autonomous Region,1,People's Republic of China (CN),1,130000,130000,1,1,Installment payment
"Changchun Guoxin Real Estate Management Co., Ltd.",Beijing,0,People's Republic of China (CN),1,130874,130874,1,1,Installment payment
"China Construction Bank Co., Ltd. Xinyang Branch",Henan Province,1,People's Republic of China (CN),1,132000,132000,1,1,Installment payment
"Bank of Communications Co., Ltd. Fujian Branch",Fujian Province,1,People's Republic of China (CN),1,135000,135000,1,1,Installment payment
Zhuhai Rural Credit Cooperatives Association,Guangdong Province,1,People's Republic of China (CN),1,135000,135000,1,1,Installment payment
"Huzhou Bank Co., Ltd.",Zhejiang Province,1,People's Republic of China (CN),1,135000,135000,1,1,Installment payment
"Hana Bank (China) Co., Ltd.",Beijing,1,People's Republic of China (CN),1,136000,136000,1,1,Installment payment
"Changjiang Pension Insurance Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,138000,138000,1,1,Installment payment
China Merchants Bank Ningbo Branch,Zhejiang Province,1,People's Republic of China (CN),1,138000,138000,1,1,Installment payment
Huishang Bank,Anhui Province,1,People's Republic of China (CN),1,140000,140000,1,1,Installment payment
"Zhangjiakou Commercial Bank Co., Ltd.",Hebei Province,1,People's Republic of China (CN),1,140000,140000,1,1,Installment payment
"China Construction Bank Co., Ltd. Liaoning Provincial Branch",Liaoning Province,1,People's Republic of China (CN),1,140000,140000,1,1,Installment payment
"Shengdong Network Technology Development (Shanghai) Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,140000,140000,1,1,Installment payment
"Guangzhou Xinzhongtian Technology and Trade Industrial Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,140000,140000,0,2,One time payment
"Agricultural Bank of China Co., Ltd.",Beijing,1,People's Republic of China (CN),1,140000,140000,1,1,Installment payment
"Guangdong Development Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,142000,142000,1,1,Installment payment
"Agricultural Bank of China Co., Ltd. Hainan Branch",Hainan,1,People's Republic of China (CN),1,142154,142154,1,1,Installment payment
Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,144000,144000,1,1,Installment payment
Ningbo Yinzhou Rural Cooperative Bank,Zhejiang Province,1,People's Republic of China (CN),1,144000,144000,1,1,Installment payment
Beijing Zhengtianhua Advertising Company,Beijing,0,People's Republic of China (CN),1,144000,144000,1,1,Installment payment
Dongguan Rural Credit Cooperatives Association,Guangdong Province,1,People's Republic of China (CN),1,145000,145000,1,1,Installment payment
"Dongguan Rural Commercial Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,145000,145000,1,1,Installment payment
General Department of the Fifth Academy of China Aerospace Science and Technology Corporation,Beijing,0,People's Republic of China (CN),1,147800,147800,0,2,One time payment
Dazhou Commercial Bank,Sichuan Province,1,People's Republic of China (CN),1,148000,148000,1,1,Installment payment
"Hua Xia Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,150000,150000,1,1,Installment payment
"Bank of Shanghai Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,150000,150000,1,1,Installment payment
Zhejiang Mintai Commercial Bank,Zhejiang Province,1,People's Republic of China (CN),1,150000,150000,1,1,Installment payment
"Changjiang Pension Insurance Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,150000,150000,1,1,Installment payment
Beijing Rural Commercial Bank,Beijing,1,People's Republic of China (CN),1,150000,150000,1,1,Installment payment
Credit Card Center of China Construction Bank Corporation,Shanghai,1,People's Republic of China (CN),1,150000,150000,1,1,Installment payment
Guangdong Federation of Rural Credit Cooperatives,Guangdong Province,1,People's Republic of China (CN),1,150000,150000,1,1,Installment payment
Credit Card Center of China Construction Bank Corporation,Shanghai,1,People's Republic of China (CN),1,150000,150000,1,1,Installment payment
"Mingheng Road Trading Services Co., Ltd.",Beijing,0,People's Republic of China (CN),1,150000,150000,1,1,Installment payment
"Beijing Wanchuang Online Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,150000,150000,1,1,Installment payment
"Yilong.com Information Technology (Beijing) Co., Ltd.",Beijing,0,People's Republic of China (CN),1,150000,150000,0,2,One time payment
"Qinhuangdao Commercial Bank Co., Ltd.",Hebei Province,1,People's Republic of China (CN),1,150000,150000,1,1,Installment payment
"Beijing Caiyifeng Communication Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,150000,150000,0,2,One time payment
"Qishang Bank Co., Ltd.",Shandong Province,1,People's Republic of China (CN),1,150000,150000,1,1,Installment payment
Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,152000,152000,1,1,Installment payment
Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,152000,152000,1,1,Installment payment
"Huaxia Bank Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,156000,156000,1,1,Installment payment
"Changjiang Futures Co., Ltd.",hubei province,0,People's Republic of China (CN),1,156000,156000,1,1,Installment payment
Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,156800,156800,1,1,Installment payment
"China Construction Bank Co., Ltd. Gansu Provincial Branch",Gansu province,1,People's Republic of China (CN),1,156800,156800,1,1,Installment payment
Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,157600,157600,1,1,Installment payment
"China Construction Bank Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,158000,158000,0,2,One time payment
Anshan Commercial Bank,Liaoning Province,1,People's Republic of China (CN),1,158000,158000,1,1,Installment payment
"Xinyang Commercial Bank Co., Ltd.",Henan Province,1,People's Republic of China (CN),1,160000,160000,1,1,Installment payment
Bank of Beijing,Beijing,1,People's Republic of China (CN),1,160000,160000,1,1,Installment payment
"China Construction Bank Co., Ltd. Hunan Branch",Hunan Province,1,People's Republic of China (CN),1,160000,160000,1,1,Installment payment
"Zhanjiang Commercial Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,160000,160000,1,1,Installment payment
"Beijing Xinhua Perui Public Relations Consulting Co., Ltd.",Beijing,0,People's Republic of China (CN),1,160000,160000,1,1,Installment payment
"Laishang Bank Co., Ltd.",Shandong Province,1,People's Republic of China (CN),1,160000,160000,1,1,Installment payment
"Beijing Tongtianshidi Space Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,160140,160140,1,3,commission payment
"Beijing Anke Internet Software Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,163020,163020,1,1,Installment payment
Wing Hang Bank (China) Limited,Guangdong Province,1,People's Republic of China (CN),1,165000,165000,1,1,Installment payment
Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,166600,166600,1,1,Installment payment
"Hua Xia Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,168000,168000,1,1,Installment payment
Foshan Shunde District Rural Credit Cooperative Association,Guangdong Province,1,People's Republic of China (CN),1,168000,168000,1,1,Installment payment
Suining Commercial Bank,Sichuan Province,1,People's Republic of China (CN),1,171000,171000,1,1,Installment payment
"Hua Xia Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,175000,175000,1,1,Installment payment
"Hua Xia Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,175000,175000,1,1,Installment payment
Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,175500,175500,1,1,Installment payment
Yunnan Rural Credit Cooperative Science and Technology Settlement Center,Yunnan Province,1,People's Republic of China (CN),1,178184.52,178184.52,1,1,Installment payment
"Beijing Xianke High-tech Co., Ltd.",Beijing,0,People's Republic of China (CN),1,178947,178947,1,1,Installment payment
Bank of China Limited,Beijing,1,People's Republic of China (CN),1,180000,180000,1,1,Installment payment
Bank of China Limited,Beijing,1,People's Republic of China (CN),1,180000,180000,1,1,Installment payment
"Zhangjiakou Commercial Bank Co., Ltd.",Hebei Province,1,People's Republic of China (CN),1,180000,180000,1,1,Installment payment
Bank of East Asia (China) Limited,Shanghai,1,People's Republic of China (CN),1,180000,180000,1,1,Installment payment
Zhejiang Tailong Commercial Bank,Zhejiang Province,1,People's Republic of China (CN),1,180000,180000,1,1,Installment payment
"Xinyang Commercial Bank Co., Ltd.",Henan Province,1,People's Republic of China (CN),1,180000,180000,1,1,Installment payment
Changshu Rural Commercial Bank,Jiangsu Province,1,People's Republic of China (CN),1,180000,180000,1,1,Installment payment
Weihai Commercial Bank,Shandong Province,1,People's Republic of China (CN),1,180000,180000,1,1,Installment payment
"Zhejiang Geely Automobile Researcher Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,180000,180000,1,1,Installment payment
"Zhejiang Geely Automobile Research Institute Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,180000,180000,1,1,Installment payment
"Bank of China Co., Ltd. Shanghai Branch",Shanghai,1,People's Republic of China (CN),1,180000,180000,1,1,Installment payment
Quanzhou Commercial Bank,Fujian Province,1,People's Republic of China (CN),1,180000,180000,1,1,Installment payment
Foshan Nanhai District Rural Credit Cooperative Association,Guangdong Province,1,People's Republic of China (CN),1,180000,180000,1,1,Installment payment
"Bank of Jiangsu Co., Ltd.",Jiangsu Province,1,People's Republic of China (CN),1,180000,180000,1,1,Installment payment
"Leshan Commercial Bank Co., Ltd.",Sichuan Province,1,People's Republic of China (CN),1,180000,180000,1,1,Installment payment
"Souyi Network Alliance International Network Technology (Beijing) Co., Ltd.",Beijing,0,People's Republic of China (CN),1,180000,180000,1,1,Installment payment
"Philips (China) Investment Co., Ltd.",Beijing,0,People's Republic of China (CN),1,180000,180000,1,1,Installment payment
Shanxi Federation of Rural Credit Cooperatives,Shanxi Province,1,People's Republic of China (CN),1,180000,180000,1,3,commission payment
"Beijing Lingyun Interactive Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,180000,180000,1,1,Installment payment
"Chuanglianwanwang International Information Technology (Beijing) Co., Ltd.",Beijing,0,People's Republic of China (CN),1,180000,180000,1,1,Installment payment
"Beijing Taitong Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,180000,180000,1,1,Installment payment
"Orusa Co., Ltd.",Beijing,0,People's Republic of China (CN),1,183400,183400,1,1,Installment payment
"China Construction Bank Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,184000,184000,1,1,Installment payment
Credit Card Center of China Minsheng Banking Corporation,Beijing,1,People's Republic of China (CN),1,184320,184320,1,1,Installment payment
"Lanzhou Bank Co., Ltd.",Gansu province,1,People's Republic of China (CN),1,185000,185000,1,1,Installment payment
"Hebei Bank Co., Ltd.",Hebei Province,1,People's Republic of China (CN),1,185000,185000,1,1,Installment payment
"Hangzhou Jingwei Information Technology Co., Ltd.",Zhejiang Province,0,People's Republic of China (CN),1,189921,189921,1,1,Installment payment
"China Construction Bank Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,190000,190000,1,1,Installment payment
"Nanchong Commercial Bank Co., Ltd.",Sichuan Province,1,People's Republic of China (CN),1,190000,190000,1,1,Installment payment
"Bank of China Co., Ltd. Shanghai Branch",Shanghai,1,People's Republic of China (CN),1,190000,190000,0,2,One time payment
"Beijing BOCO Value-added Business Communications Co., Ltd.",Beijing,0,People's Republic of China (CN),1,191194,191194,0,2,One time payment
"China Construction Bank Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,192000,192000,1,1,Installment payment
"China Construction Bank Co., Ltd. Liaoning Provincial Branch",Liaoning Province,1,People's Republic of China (CN),1,192000,192000,1,1,Installment payment
Yunnan Rural Credit Cooperative Science and Technology Settlement Center,Yunnan Province,1,People's Republic of China (CN),1,192000,192000,1,1,Installment payment
"Beijing Pocket Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,192000,192000,1,1,Installment payment
"Bank of Shanghai Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,195000,195000,1,1,Installment payment
"Changjiang Pension Insurance Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,195500,195500,1,1,Installment payment
"China CITIC Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,196000,196000,1,1,Installment payment
Bank of China Limited,Beijing,1,People's Republic of China (CN),1,198600,198600,1,1,Installment payment
"China Construction Bank Co., Ltd. Guangdong Branch",Guangdong Province,1,People's Republic of China (CN),1,199980,199980,1,1,Installment payment
Huishang Bank,Anhui Province,1,People's Republic of China (CN),1,790000,200000,1,1,Installment payment
"Bank of Ningbo Co., Ltd.",Zhejiang Province,1,People's Republic of China (CN),1,200000,200000,1,1,Installment payment
"Fudian Bank Co., Ltd.",Yunnan Province,1,People's Republic of China (CN),1,200000,200000,1,1,Installment payment
"Cangzhou Bank Co., Ltd.",Hebei Province,1,People's Republic of China (CN),1,200000,200000,1,1,Installment payment
"Zhanjiang Commercial Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,200000,200000,1,1,Installment payment
"Hankou Bank Co., Ltd.",hubei province,1,People's Republic of China (CN),1,200000,200000,1,1,Installment payment
"Beijing Qianoak Interactive Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,200000,200000,1,1,Installment payment
"Deyang Commercial Bank Co., Ltd.",Sichuan Province,1,People's Republic of China (CN),1,200000,200000,1,1,Installment payment
"Ganzhou Bank Co., Ltd.",Jiangxi Province,1,People's Republic of China (CN),1,200000,200000,0,2,One time payment
"Xianghe Furniture City Property Management Co., Ltd. First Branch",Hebei Province,0,People's Republic of China (CN),1,200000,200000,1,1,Installment payment
"Jiaozuo Commercial Bank Co., Ltd.",Henan Province,1,People's Republic of China (CN),1,200000,200000,1,1,Installment payment
"Huishang Bank Co., Ltd.",Anhui Province,1,People's Republic of China (CN),1,200000,200000,1,1,Installment payment
Bank of Communications Shanghai Branch,Shanghai,1,People's Republic of China (CN),1,200000,200000,0,2,One time payment
Jiangmen Xinhui District Rural Credit Cooperative Association,Guangdong Province,1,People's Republic of China (CN),1,200000,200000,1,1,Installment payment
"Beijing Huadihongtu Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,200000,200000,1,1,Installment payment
"Ordos Bank Co., Ltd.",Inner Mongolia Autonomous Region,1,People's Republic of China (CN),1,200000,200000,1,1,Installment payment
"Beijing Positioning Advertising Co., Ltd.",Beijing,0,People's Republic of China (CN),1,201120,201120,1,1,Installment payment
"Bank of China Limited, Macau Branch",Macao Special Administrative Region,1,People's Republic of China (CN),1,203176,203176,1,1,Installment payment
"Beijing Zhikong Meixin Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,205000,205000,1,1,Installment payment
"Changjiang Securities Co., Ltd.",hubei province,1,People's Republic of China (CN),1,205400,205400,1,1,Installment payment
Shandong Federation of Rural Credit Cooperatives,Shandong Province,1,People's Republic of China (CN),1,210000,210000,1,1,Installment payment
Xiangtan Commercial Bank,Hunan Province,1,People's Republic of China (CN),1,210000,210000,1,1,Installment payment
"Shanghai Dewang Information Technology Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,210000,210000,0,2,One time payment
Ministry of Land and Resources Information Center,Beijing,0,People's Republic of China (CN),1,210000,210000,1,1,Installment payment
Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,212500,212500,1,1,Installment payment
Huishang Bank,Anhui Province,1,People's Republic of China (CN),1,215000,215000,1,1,Installment payment
"Xinyang Commercial Bank Co., Ltd.",Henan Province,1,People's Republic of China (CN),1,215000,215000,1,1,Installment payment
"Bank of Communications Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,216000,216000,1,1,Installment payment
"Bank of Nanjing Co., Ltd.",Jiangsu Province,1,People's Republic of China (CN),1,216000,216000,1,1,Installment payment
"Soyiwangmeng International Network Technology (Beijing) Co., Ltd.",Beijing,0,People's Republic of China (CN),1,216000,216000,1,1,Installment payment
"Qingdao Hisense Communications Co., Ltd.",Shandong Province,0,People's Republic of China (CN),1,216000,216000,1,3,commission payment
Shanghai Rural Commercial Bank,Shanghai,1,People's Republic of China (CN),1,220000,220000,1,1,Installment payment
"Zhangjiakou Commercial Bank Co., Ltd.",Hebei Province,1,People's Republic of China (CN),1,220000,220000,1,1,Installment payment
"Beijing Zhikong Meixin Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,220000,220000,1,1,Installment payment
"Bank of Chengdu Co., Ltd.",Sichuan Province,1,People's Republic of China (CN),1,220000,220000,1,1,Installment payment
Guangdong,Guangdong Province,0,People's Republic of China (CN),1,220000,220000,1,1,Installment payment
"Beijing Tai Tai Weiye Doors and Windows Co., Ltd.",Beijing,0,People's Republic of China (CN),1,220000,220000,1,1,Installment payment
"Beijing Huarong Yitong Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,220000,220000,1,1,Installment payment
"Beijing Duosi Technology Industrial Park Co., Ltd.",Beijing,0,People's Republic of China (CN),1,220828,220828,1,1,Installment payment
"Bank of China Limited, Macau Branch",Macao Special Administrative Region,1,People's Republic of China (CN),1,221000,221000,1,1,Installment payment
"Bank of Shanghai Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,223600,223600,1,1,Installment payment
"Bank of Ningbo Co., Ltd.",Zhejiang Province,1,People's Republic of China (CN),1,225000,225000,1,1,Installment payment
"Zhangjiakou Commercial Bank Co., Ltd.",Hebei Province,1,People's Republic of China (CN),1,225000,225000,1,1,Installment payment
Guiyang Commercial Bank,Guizhou Province,1,People's Republic of China (CN),1,225000,225000,1,1,Installment payment
Shenzhen Rural Commercial Bank,Guangdong Province,1,People's Republic of China (CN),1,225000,225000,1,1,Installment payment
"Business Opportunities Online (Beijing) Network Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,225000,225000,1,1,Installment payment
"UnionPay Data Services Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,225000,225000,1,1,Installment payment
"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch",Inner Mongolia Autonomous Region,1,People's Republic of China (CN),1,226000,226000,1,1,Installment payment
"Bank of Communications Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,228000,228000,1,1,Installment payment
"Bank of Chengdu Co., Ltd.",Sichuan Province,1,People's Republic of China (CN),1,228000,228000,1,1,Installment payment
"China Construction Bank Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,230000,230000,1,1,Installment payment
"Bank of Quanzhou Co., Ltd.",Fujian Province,1,People's Republic of China (CN),1,230000,230000,1,1,Installment payment
"Bank of Communications Co., Ltd. Jiangxi Branch",Jiangxi Province,1,People's Republic of China (CN),1,230000,230000,1,1,Installment payment
Foshan Sanshui District Rural Credit Cooperative Association,Guangdong Province,1,People's Republic of China (CN),1,230000,230000,1,1,Installment payment
"Beijing Shibao Satellite Imagery Co., Ltd.",Beijing,0,People's Republic of China (CN),1,230109,230109,1,1,Installment payment
"Tianjin Zhongke Remote Sensing Information Technology Co., Ltd.",Tianjin City,0,People's Republic of China (CN),1,233955,233955,1,1,Installment payment
Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,234000,234000,1,1,Installment payment
"Hua Xia Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,234000,234000,1,1,Installment payment
"Bohai Bank Co., Ltd.",Tianjin City,1,People's Republic of China (CN),1,235000,235000,1,1,Installment payment
Zhejiang Mintai Commercial Bank,Zhejiang Province,1,People's Republic of China (CN),1,235000,235000,0,2,One time payment
Ningbo Yinzhou Rural Cooperative Bank,Zhejiang Province,1,People's Republic of China (CN),1,235000,235000,1,1,Installment payment
"Zhangjiakou Commercial Bank Co., Ltd.",Hebei Province,1,People's Republic of China (CN),1,237000,237000,1,1,Installment payment
China 4D Surveying and Mapping Corporation,Beijing,0,People's Republic of China (CN),1,237600,237600,1,1,Installment payment
"Beijing NavInfo Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,237850,237850,0,2,One time payment
"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch",Inner Mongolia Autonomous Region,1,People's Republic of China (CN),1,238000,238000,1,1,Installment payment
Bank of Dalian,Liaoning Province,1,People's Republic of China (CN),1,238000,238000,1,1,Installment payment
