time,amount,internalization,outsourcing,if the sitting date time after 2006,if the buyer is a bank,export,export to OECD,if the buyer is a chinese organization,classification of the buyer,Seller Category B,if the seller is a wholly foreign-owned company,if the seller is a wholly chinese company, if the buyer is a joint venture,classification of the seller,if the seller belongs to IT industry,Technical field B,if the outcome is a patent,if the outcome is a know-hnw,if the outcome with no IP,knowstyle,Intellectual property B,if the project is a R&D mission, if the project is a technical consultation,it the project is an IP exchange,classification of the contract,Contract type B,socioeconomic goals,Turnover,money,installment,paystyle,payment method,Is the seller a central institution in Beijing?,Is it an intermediary service organization?,Transformed enterprise
41d,3,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,200000,200000,1,1,Installment payment,no,no,no
467d,3,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,200000,200000,1,1,Installment payment,no,no,no
121d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer network,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,200000,200000,1,1,Installment payment,no,no,no
1095d,2,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,200000,200000,1,1,Installment payment,no,no,no
1096d,2,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,200000,200000,0,2,One time payment,no,no,no
50d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,other,200000,200000,1,1,Installment payment,no,no,no
487d,2,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,200000,200000,1,1,Installment payment,no,no,no
213d,2,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,200000,200000,1,1,Installment payment,no,no,no
1095d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer network,0,1,0,3,technical secrets,1,0,0,2,Commissioned development,social development and social services,200000,200000,0,2,One time payment,no,no,no
365d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,200000,200000,1,1,Installment payment,no,no,no
365d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,200000,200000,1,1,Installment payment,no,no,no
226d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,200000,200000,1,1,Installment payment,no,no,no
50d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,other,201120,201120,1,1,Installment payment,no,no,no
434d,10,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,203176,203176,1,1,Installment payment,no,no,no
482d,9,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,205000,205000,1,1,Installment payment,no,no,no
406d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,205400,205400,1,1,Installment payment,no,no,no
1168d,5,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,210000,210000,1,1,Installment payment,no,no,no
488d,2,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,210000,210000,1,1,Installment payment,no,no,no
119d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,other,210000,210000,0,2,One time payment,no,no,no
364d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,210000,210000,1,1,Installment payment,no,no,no
101d,54,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,social development and social services,212500,212500,1,1,Installment payment,no,no,no
455d,14,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,215000,215000,1,1,Installment payment,no,no,no
426d,7,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,215000,215000,1,1,Installment payment,no,no,no
365d,34,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,216000,216000,1,1,Installment payment,no,no,no
365d,5,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,216000,216000,1,1,Installment payment,no,no,no
181d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer network,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,216000,216000,1,1,Installment payment,no,no,no
1095d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,communication technology,0,1,0,3,technical secrets,1,0,0,2,Commissioned development,Promote industrial development,216000,216000,1,3,commission payment,no,no,no
58d,13,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,220000,220000,1,1,Installment payment,no,no,no
521d,10,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,220000,220000,1,1,Installment payment,no,no,no
593d,9,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,220000,220000,1,1,Installment payment,no,no,no
171d,6,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,220000,220000,1,1,Installment payment,no,no,no
119d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,220000,220000,1,1,Installment payment,no,no,no
112d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,other,220000,220000,1,1,Installment payment,no,no,no
1036d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,development of knowledge,220000,220000,1,1,Installment payment,no,no,no
383d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,social development and social services,220828,220828,1,1,Installment payment,no,no,no
364d,10,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,221000,221000,1,1,Installment payment,no,no,no
457d,14,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,223600,223600,1,1,Installment payment,no,no,no
88d,10,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,225000,225000,1,1,Installment payment,no,no,no
435d,10,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,225000,225000,1,1,Installment payment,no,no,no
180d,8,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,225000,225000,1,1,Installment payment,no,no,no
83d,4,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,225000,225000,1,1,Installment payment,no,no,no
90d,3,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,other,225000,225000,1,1,Installment payment,no,no,no
938d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,225000,225000,1,1,Installment payment,no,no,no
120d,13,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,226000,226000,1,1,Installment payment,no,no,no
364d,34,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,228000,228000,1,1,Installment payment,no,no,no
364d,6,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,social development and social services,228000,228000,1,1,Installment payment,no,no,no
459d,41,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,230000,230000,1,1,Installment payment,no,no,no
359d,6,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,230000,230000,1,1,Installment payment,no,no,no
452d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,230000,230000,1,1,Installment payment,no,no,no
155d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,230000,230000,1,1,Installment payment,no,no,no
383d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,230109,230109,1,1,Installment payment,no,no,no
435d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,233955,233955,1,1,Installment payment,no,no,no
365d,54,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,234000,234000,1,1,Installment payment,no,no,no
364d,30,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,social development and social services,234000,234000,1,1,Installment payment,no,no,no
473d,15,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,235000,235000,1,1,Installment payment,no,no,no
593d,10,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,235000,235000,0,2,One time payment,no,no,no
452d,8,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,235000,235000,1,1,Installment payment,no,no,no
365d,10,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,237000,237000,1,1,Installment payment,no,no,no
364d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,237600,237600,1,1,Installment payment,no,no,no
297d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,civil space,237850,237850,0,2,One time payment,no,no,no
364d,13,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,238000,238000,1,1,Installment payment,no,no,no
454d,6,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,238000,238000,1,1,Installment payment,no,no,no
355d,10,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,239038.92,239038.92,1,1,Installment payment,no,no,no
547d,41,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,240000,240000,1,1,Installment payment,no,no,no
54d,14,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,240000,240000,0,2,One time payment,no,no,no
182d,14,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,240000,240000,1,1,Installment payment,no,no,no
365d,8,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,240000,240000,1,1,Installment payment,no,no,no
364d,5,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,240000,240000,1,1,Installment payment,no,no,no
609d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,civil space,240000,240000,1,1,Installment payment,no,no,no
510d,9,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,243000,243000,1,1,Installment payment,no,no,no
428d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,243200,243200,1,1,Installment payment,no,no,no
364d,2,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,243788,243788,1,1,Installment payment,no,no,no
203d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,other,244000,244000,1,1,Installment payment,no,no,no
729d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,other,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,civil space,244016,244016,0,2,One time payment,no,no,no
39d,3,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,248000,248000,1,1,Installment payment,no,no,no
730d,3,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,248000,248000,1,1,Installment payment,no,no,no
425d,10,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,250000,250000,1,1,Installment payment,no,no,no
364d,7,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,250000,250000,1,1,Installment payment,no,no,no
153d,5,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,250000,250000,1,1,Installment payment,no,no,no
150d,5,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,250000,250000,1,1,Installment payment,no,no,no
365d,4,1,,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,250000,250000,1,1,Installment payment,no,no,no
503d,4,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,250000,250000,1,1,Installment payment,no,no,no
274d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,1,0,0,2,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,civil space,250000,250000,1,1,Installment payment,no,no,no
251d,2,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,other,250000,250000,1,1,Installment payment,no,no,no
152d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,250000,250000,1,1,Installment payment,no,no,no
365d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,250000,250000,1,1,Installment payment,no,no,no
60d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,250000,250000,1,1,Installment payment,no,no,no
484d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,250000,250000,1,1,Installment payment,no,no,no
442d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,250000,250000,1,1,Installment payment,no,no,no
483d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,250000,250000,1,1,Installment payment,no,no,no
364d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,250800,250800,1,1,Installment payment,no,no,no
365d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,251437.33,251437.33,1,1,Installment payment,no,no,no
508d,41,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,253000,253000,1,1,Installment payment,no,no,no
445d,41,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,253000,253000,1,1,Installment payment,no,no,no
365d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,257974.64,257974.64,1,1,Installment payment,no,no,no
617d,14,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,260000,260000,1,1,Installment payment,no,no,no
484d,14,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,260000,260000,1,1,Installment payment,no,no,no
365d,13,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,260000,260000,1,1,Installment payment,no,no,no
423d,8,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,260000,260000,1,1,Installment payment,no,no,no
365d,8,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,260000,260000,1,1,Installment payment,no,no,no
364d,7,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,260000,260000,1,1,Installment payment,no,no,no
136d,5,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,260000,260000,1,1,Installment payment,no,no,no
164d,4,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,260000,260000,1,1,Installment payment,no,no,no
366d,74,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,264000,264000,1,1,Installment payment,no,no,no
365d,41,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,264000,264000,1,1,Installment payment,no,no,no
365d,41,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,264000,264000,1,1,Installment payment,no,no,no
57d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,265000,265000,1,1,Installment payment,no,no,no
434d,8,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,266000,266000,1,1,Installment payment,no,no,no
364d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer network,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,268000,268000,1,1,Installment payment,no,no,no
365d,41,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,270000,270000,1,1,Installment payment,no,no,no
90d,41,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,270000,270000,1,1,Installment payment,no,no,no
731d,41,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,270000,270000,1,1,Installment payment,no,no,no
753d,34,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,computer network,0,1,0,3,technical secrets,1,0,0,2,Commissioned development,social development and social services,270000,270000,1,1,Installment payment,no,no,no
183d,14,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,0,1,0,1,General technical services,social development and social services,270000,270000,1,1,Installment payment,no,no,no
139d,13,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,270000,270000,1,1,Installment payment,no,no,no
425d,10,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,270000,270000,1,1,Installment payment,no,no,no
181d,8,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,270000,270000,1,1,Installment payment,no,no,no
497d,6,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,270000,270000,0,2,One time payment,no,no,no
528d,5,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,270000,270000,1,1,Installment payment,no,no,no
407d,4,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,270000,270000,1,1,Installment payment,no,no,no
225d,1,0,1,1,0,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,270000,270000,1,1,Installment payment,no,no,no
730d,6,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,274500,274500,1,1,Installment payment,no,no,no
1095d,1,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,3,1,Urban Construction,0,1,0,3,technical secrets,1,0,0,2,Commissioned development,social development and social services,275000,275000,0,2,One time payment,no,no,no
365d,74,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,276000,276000,0,2,One time payment,no,no,no
182d,10,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,278302.5,278302.5,1,1,Installment payment,no,no,no
30d,14,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,280000,280000,1,1,Installment payment,no,no,no
89d,8,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,280000,280000,1,1,Installment payment,no,no,no
53d,8,1,,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,0,1,0,1,General technical services,social development and social services,280000,280000,0,2,One time payment,no,no,no
364d,7,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,280000,280000,1,1,Installment payment,no,no,no
767d,6,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,0,0,1,1,No intellectual property rights involved,1,0,0,2,Commissioned development,social development and social services,280000,280000,1,1,Installment payment,no,no,no
426d,6,0,1,1,1,0,0,1,4,foreign-invested enterprises,0,0,1,1,1,computer software,1,0,0,2,computer software,1,0,0,2,Commissioned development,social development and social services,280000,280000,1,1,Installment payment,no,no,no
