amount,name of the buyer,location of the buyer,if the buyer is a bank,the buyer's country,if the buyer is a chinese organization,if the seller belongs to IT industry,if the outcome is a patent,if the outcome is a know-hnw,if the outcome with no IP,knowstyle,if the project is a R&D mission,if the project is a technical consultation,if the project is an IP exchange,Turnover,money,payment method
9,"Agricultural Bank of China Co., Ltd. Shenzhen Branch",Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,68600,68600,Installment payment
1,"Beijing Tengxin Interactive Advertising Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,70000,70000,Installment payment
1,"Beijing Totem Baojia Furniture Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,70000,70000,Installment payment
13,Bank of China Limited,Beijing,1,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,72000,72000,Installment payment
3,"Beijing Zhengtianhua Advertising Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,72000,72000,One time payment
1,"CICC Online Network Technology Co., Ltd.",Fujian Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,72000,72000,Installment payment
5,Hunan Federation of Rural Credit Cooperatives,Hunan Province,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,75000,75000,Installment payment
4,"Tai Chi Computer Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,75000,75000,Installment payment
54,Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,76000,76000,Installment payment
54,Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,76000,76000,Installment payment
54,Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,76000,76000,Installment payment
8,"Bank of China Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,76000,76000,Installment payment
54,Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,78000,78000,Installment payment
54,Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,78400,78400,Installment payment
9,"Agricultural Bank of China Co., Ltd. Shenzhen Branch",Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,78400,78400,Installment payment
9,"Agricultural Bank of China Co., Ltd. Shenzhen Branch",Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,78400,78400,Installment payment
9,"Agricultural Bank of China Co., Ltd. Shenzhen Branch",Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,78400,78400,Installment payment
1,"Mefit (Beijing) Paint Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,78750,78750,Installment payment
54,Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,79200,79200,Installment payment
54,Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,79600,79600,Installment payment
13,Shanghai Rural Commercial Bank,Shanghai,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,80000,80000,Installment payment
1,"Sanwu Internet Technology Co., Ltd.",Fujian Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,80000,80000,Installment payment
1,"Shenzhen Cyber Power Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,1,0,1,0,3,0,1,0,80000,80000,Installment payment
1,"Huaxia Life Insurance Co., Ltd.",Beijing,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,80000,80000,Installment payment
1,"Guangzhou Ziyuan Information Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,80000,80000,Installment payment
3,"Bank of Communications Co., Ltd. Fujian Branch",Fujian Province,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,85000,85000,Installment payment
2,"China Construction Bank Co., Ltd. Guangxi Zhuang Autonomous Region Branch",Guangxi Zhuang Autonomous Region,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,85000,85000,Installment payment
1,Quanzhou Bank,Fujian Province,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,85000,85000,Installment payment
3,"Beijing University of Technology Zhiyuan Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,86250,86250,One time payment
1,"Beijing Tianxindao Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,88000,88000,Installment payment
54,Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,88200,88200,Installment payment
54,Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,88200,88200,Installment payment
41,"China Construction Bank Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,89000,89000,Installment payment
10,"Zhangjiakou Commercial Bank Co., Ltd.",Hebei Province,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,90000,90000,Installment payment
10,"Zhangjiakou Commercial Bank Co., Ltd.",Hebei Province,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,90000,90000,Installment payment
5,"Harbin Bank Co., Ltd.",Heilongjiang Province,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,90000,90000,Installment payment
4,Guangdong Federation of Rural Credit Cooperatives,Guangdong Province,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,90000,90000,Installment payment
4,Weihai Commercial Bank,Shandong Province,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,90000,90000,One time payment
4,"Hangzhou Bank Co., Ltd.",Zhejiang Province,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,90000,90000,Installment payment
4,"Sino-German Housing Savings Bank Co., Ltd.",Tianjin City,1,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,90000,90000,Installment payment
3,Shijiazhuang Commercial Bank,Hebei Province,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,90000,90000,One time payment
2,"Xiamen Commercial Bank Co., Ltd.",Fujian Province,1,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,90000,90000,One time payment
2,"Anyang Commercial Bank Co., Ltd.",Henan Province,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,90000,90000,Installment payment
2,"Bank of Guiyang Co., Ltd.",Guizhou Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,90000,90000,One time payment
2,"Bank of Guiyang Co., Ltd.",Guizhou Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,90000,90000,One time payment
1,"Beijing Huicong International Information Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,90000,90000,Installment payment
1,Jinshang Bank,Shanxi Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,90000,90000,Installment payment
1,"ICBC Credit Suisse Fund Management Co., Ltd.",Beijing,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,90000,90000,One time payment
1,"Chongqing Three Gorges Bank Co., Ltd.",Chongqing,1,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,90000,90000,Installment payment
1,"Anhui Maanshan Rural Commercial Bank Co., Ltd.",Anhui Province,1,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,90000,90000,Installment payment
1,Xinjiang Huihe Bank,Xinjiang Uygur Autonomous Region,1,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,90000,90000,Installment payment
1,"Hengshui Commercial Bank Co., Ltd.",Hebei Province,1,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,90000,90000,Installment payment
1,"Bank of Xi'an Co., Ltd.",Shaanxi Province,1,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,90000,90000,Installment payment
1,"Beijing Derun Industry and Trade Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,92000,92000,Installment payment
2,"Huatai Property Insurance Co., Ltd.",Beijing,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,93000,93000,Installment payment
2,"Tianjin Zhongke Remote Sensing Information Technology Co., Ltd.",Tianjin City,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,94100,94100,One time payment
1,"Agricultural Bank of China Co., Ltd. Xiamen Branch",Fujian Province,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,94572,94572,Installment payment
26,"Guangdong Development Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,95000,95000,Installment payment
13,Shanghai Rural Commercial Bank,Shanghai,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,95000,95000,Installment payment
10,"Bank of Ningbo Co., Ltd.",Zhejiang Province,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,95000,95000,One time payment
41,"China Construction Bank Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,96000,96000,Installment payment
13,Bank of China Limited,Beijing,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,96000,96000,One time payment
9,"Beijing Zhikong Meixin Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,96000,96000,Installment payment
8,"Bank of China Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,96000,96000,Installment payment
5,Beijing Rural Commercial Bank,Beijing,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,96000,96000,Installment payment
10,"Bank of China Limited, Macau Branch",Macao Special Administrative Region,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,96984.8,96984.8,One time payment
2,"Quanzhou Commercial Bank Co., Ltd.",Fujian Province,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,97000,97000,One time payment
54,Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,97500,97500,Installment payment
2,"Deyang Commercial Bank Co., Ltd.",Sichuan Province,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,97500,97500,Installment payment
4,Weihai Commercial Bank,Shandong Province,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,98000,98000,Installment payment
2,"Business Department, Head Office of China CITIC Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,99000,99000,Installment payment
8,"Bank of China Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,99179,99179,Installment payment
14,Huishang Bank,Anhui Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,100000,100000,Installment payment
14,"Bank of Shanghai Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,100000,100000,Installment payment
13,Shanghai Rural Commercial Bank,Shanghai,1,People's Republic of China (CN),1,1,0,1,0,3,1,0,0,100000,100000,One time payment
8,China Everbright Bank,Beijing,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,100000,100000,Installment payment
7,"Jiangsu Wujiang Rural Commercial Bank Co., Ltd.",Jiangsu Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,100000,100000,Installment payment
6,"Nanchang Bank Co., Ltd.",Jiangxi Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,100000,100000,Installment payment
5,Beijing Rural Commercial Bank,Beijing,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,100000,100000,One time payment
4,HSBC Bank,Beijing,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,100000,100000,Installment payment
3,Quanzhou Commercial Bank,Fujian Province,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,100000,100000,Installment payment
3,"China-Singapore Great Eastern Life Insurance Co., Ltd.",Chongqing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,100000,100000,Installment payment
3,"Beijing University of Technology Zhiyuan Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,100000,100000,One time payment
3,"China-Singapore Great Eastern Life Insurance Co., Ltd.",Chongqing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,100000,100000,Installment payment
2,"Shin Kong Life Insurance Co., Ltd.",Beijing,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,100000,100000,Installment payment
2,"Shenzhen Rural Commercial Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,100000,100000,Installment payment
2,"Shenzhen Rural Commercial Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,100000,100000,One time payment
1,Shenzhen Rural Commercial Bank,Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,100000,100000,Installment payment
1,"Beijing Jingguang Huayi Venture Decoration Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,100000,100000,Installment payment
1,"Beijing Lijia Meiju Building Materials Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,100000,100000,Installment payment
1,"Zhejiang Aohua Electric Co., Ltd. Beijing Operation Center",Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,100000,100000,Installment payment
1,Bank of Jiangsu Wuxi Branch,Jiangsu Province,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,100000,100000,Installment payment
1,Bank of Jiangsu Zhenjiang Branch,Jiangsu Province,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,100000,100000,Installment payment
1,Taishan Rural Credit Cooperatives Federation,Guangdong Province,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,100000,100000,Installment payment
1,"Beijing Taihua Jinze Trading Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,100000,100000,Installment payment
1,"China UnionPay Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,100000,100000,Installment payment
1,"Beijing Hengbang Kaijie Radiator Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,100500,100500,Installment payment
1,"Beijing Saiyishi Decoration Materials Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,100500,100500,Installment payment
1,"Beijing Ruiyuan Aige Decoration Materials Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,101000,101000,Installment payment
3,"China Construction Bank Co., Ltd. Qinghai Provincial Branch",Qinghai Province,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,103000,103000,Installment payment
13,Bank of China Limited,Beijing,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,104500,104500,Installment payment
13,"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch",Inner Mongolia Autonomous Region,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,105000,105000,Installment payment
1,"Beijing Anju Yiyuan Industry and Trade Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,105000,105000,Installment payment
1,"Beijing Handong Economic and Trade Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,106000,106000,Installment payment
1,"Beijing China Enterprise Power Business Information Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,106420,106420,Installment payment
9,"Beijing Zhikong Meixin Information Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,108000,108000,Installment payment
6,"Bank of Quanzhou Co., Ltd.",Fujian Province,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,108000,108000,Installment payment
2,"Zhengzhou Commercial Bank Co., Ltd.",Henan Province,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,108000,108000,Installment payment
1,"Mizuho Industrial Bank (China) Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,109200,109200,Installment payment
26,"Guangdong Development Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,110000,110000,Installment payment
54,Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,114000,114000,Installment payment
3,"China Construction Bank Co., Ltd. Qinghai Provincial Branch",Qinghai Province,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,115000,115000,Installment payment
54,Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,117000,117000,Installment payment
1,"Beijing Tuxin Times Technology Holdings Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,117300,117300,Installment payment
54,Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,117600,117600,Installment payment
54,Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,117600,117600,Installment payment
54,Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,118000,118000,Installment payment
54,Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,118000,118000,Installment payment
1,"Shenzhen Huaya Hexun Technology Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,118800,118800,Installment payment
54,Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,120000,120000,Installment payment
34,"Bank of Communications Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,120000,120000,Installment payment
13,"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch",Inner Mongolia Autonomous Region,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,120000,120000,Installment payment
13,"China Construction Bank Co., Ltd. Inner Mongolia Autonomous Region Branch",Inner Mongolia Autonomous Region,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,120000,120000,Installment payment
10,"Bank of Ningbo Co., Ltd.",Zhejiang Province,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,120000,120000,Installment payment
8,Guiyang Commercial Bank,Guizhou Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,120000,120000,Installment payment
8,Credit Card Center of China Minsheng Banking Corporation,Beijing,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,120000,120000,Installment payment
7,"Jiangsu Wujiang Rural Commercial Bank Co., Ltd.",Jiangsu Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,120000,120000,Installment payment
6,Jiangxi Federation of Rural Credit Cooperatives,Jiangxi Province,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,120000,120000,Installment payment
4,Taicang Rural Commercial Bank,Jiangsu Province,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,120000,120000,Installment payment
3,"Bank of Chongqing Co., Ltd.",Chongqing,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,120000,120000,Installment payment
3,Foshan Nanhai District Rural Credit Cooperative Association,Guangdong Province,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,120000,120000,Installment payment
2,"Qinhuangdao Commercial Bank Co., Ltd.",Hebei Province,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,120000,120000,Installment payment
1,"Shanghai Ctrip Business Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,120000,120000,Installment payment
1,Yunnan Rural Credit Cooperative Science and Technology Settlement Center,Yunnan Province,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,120000,120000,One time payment
1,"Agricultural Bank of China Co., Ltd. Inner Mongolia Autonomous Region Branch",Inner Mongolia Autonomous Region,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,120764,120764,Installment payment
41,"China Construction Bank Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,123000,123000,Installment payment
2,"Zhongke Yutu Tianxia Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,124386,124386,Installment payment
13,Bank of China Limited,Beijing,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,125400,125400,Installment payment
8,Ningbo Yinzhou Rural Cooperative Bank,Zhejiang Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,128000,128000,Installment payment
5,"Jiangsu Jiangyin Rural Commercial Bank Co., Ltd.",Jiangsu Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,130000,130000,One time payment
3,"Bank of China Co., Ltd. Shanghai Branch",Shanghai,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,130000,130000,One time payment
3,"Bank of China Co., Ltd. Hebei Branch",Hebei Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,130000,130000,Installment payment
2,"China Construction Bank Co., Ltd. Guangxi Zhuang Autonomous Region Branch",Guangxi Zhuang Autonomous Region,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,130000,130000,Installment payment
1,"Changchun Guoxin Real Estate Management Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,1,0,0,2,0,1,0,130874,130874,Installment payment
2,"China Construction Bank Co., Ltd. Xinyang Branch",Henan Province,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,132000,132000,Installment payment
3,"Bank of Communications Co., Ltd. Fujian Branch",Fujian Province,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,135000,135000,Installment payment
1,Zhuhai Rural Credit Cooperatives Association,Guangdong Province,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,135000,135000,Installment payment
1,"Huzhou Bank Co., Ltd.",Zhejiang Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,135000,135000,Installment payment
1,"Hana Bank (China) Co., Ltd.",Beijing,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,136000,136000,Installment payment
7,"Changjiang Pension Insurance Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,138000,138000,Installment payment
1,China Merchants Bank Ningbo Branch,Zhejiang Province,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,138000,138000,Installment payment
14,Huishang Bank,Anhui Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,140000,140000,Installment payment
10,"Zhangjiakou Commercial Bank Co., Ltd.",Hebei Province,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,140000,140000,Installment payment
8,"China Construction Bank Co., Ltd. Liaoning Provincial Branch",Liaoning Province,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,140000,140000,Installment payment
1,"Shengdong Network Technology Development (Shanghai) Co., Ltd.",Shanghai,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,140000,140000,Installment payment
1,"Guangzhou Xinzhongtian Technology and Trade Industrial Co., Ltd.",Guangdong Province,0,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,140000,140000,One time payment
1,"Agricultural Bank of China Co., Ltd.",Beijing,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,140000,140000,Installment payment
26,"Guangdong Development Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,142000,142000,Installment payment
1,"Agricultural Bank of China Co., Ltd. Hainan Branch",Hainan,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,142154,142154,Installment payment
54,Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,144000,144000,Installment payment
8,Ningbo Yinzhou Rural Cooperative Bank,Zhejiang Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,144000,144000,Installment payment
3,Beijing Zhengtianhua Advertising Company,Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,144000,144000,Installment payment
2,Dongguan Rural Credit Cooperatives Association,Guangdong Province,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,145000,145000,Installment payment
2,"Dongguan Rural Commercial Bank Co., Ltd.",Guangdong Province,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,145000,145000,Installment payment
1,General Department of the Fifth Academy of China Aerospace Science and Technology Corporation,Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,147800,147800,One time payment
1,Dazhou Commercial Bank,Sichuan Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,148000,148000,Installment payment
30,"Hua Xia Bank Co., Ltd.",Beijing,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,150000,150000,Installment payment
14,"Bank of Shanghai Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,150000,150000,Installment payment
10,Zhejiang Mintai Commercial Bank,Zhejiang Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,150000,150000,Installment payment
7,"Changjiang Pension Insurance Co., Ltd.",Shanghai,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,150000,150000,Installment payment
5,Beijing Rural Commercial Bank,Beijing,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,150000,150000,Installment payment
4,Credit Card Center of China Construction Bank Corporation,Shanghai,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,150000,150000,Installment payment
4,Guangdong Federation of Rural Credit Cooperatives,Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,150000,150000,Installment payment
4,Credit Card Center of China Construction Bank Corporation,Shanghai,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,150000,150000,Installment payment
2,"Mingheng Road Trading Services Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,150000,150000,Installment payment
2,"Beijing Wanchuang Online Technology Development Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,150000,150000,Installment payment
2,"Yilong.com Information Technology (Beijing) Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,150000,150000,One time payment
2,"Qinhuangdao Commercial Bank Co., Ltd.",Hebei Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,150000,150000,Installment payment
1,"Beijing Caiyifeng Communication Technology Co., Ltd.",Beijing,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,150000,150000,One time payment
1,"Qishang Bank Co., Ltd.",Shandong Province,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,150000,150000,Installment payment
54,Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,152000,152000,Installment payment
54,Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,152000,152000,Installment payment
1,"Huaxia Bank Co., Ltd. Beijing Branch",Beijing,1,People's Republic of China (CN),1,1,0,0,1,1,1,0,0,156000,156000,Installment payment
1,"Changjiang Futures Co., Ltd.",hubei province,0,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,156000,156000,Installment payment
54,Agricultural Bank of China Shenzhen Branch,Guangdong Province,1,People's Republic of China (CN),1,1,1,0,0,2,1,0,0,156800,156800,Installment payment
1,"China Construction Bank Co., Ltd. Gansu Provincial Branch",Gansu province,1,People's Republic of China (CN),1,1,0,0,1,1,0,1,0,156800,156800,Installment payment
